caseid,state_name,X_trump,X_clinton,selfvoted_2016,likely_voter,validated_voter,CC16_364_names
222168628,New Hampshire,1.0,0.0,1.0,1.0,1,probably
273691199,Louisiana,1.0,0.0,1.0,1.0,1,"yes, definitely"
284214415,Missouri,,,,1.0,0,"yes, definitely"
287557695,Alabama,,,,1.0,1,"yes, definitely"
290387662,Colorado,0.0,1.0,1.0,1.0,1,"yes, definitely"
290932100,Alabama,,,,0.0,0,undecided
292860642,Texas,1.0,0.0,1.0,1.0,0,"yes, definitely"
295367942,Pennsylvania,,,,0.0,0,no
295717127,Georgia,1.0,0.0,1.0,1.0,1,"yes, definitely"
295859014,Pennsylvania,1.0,0.0,1.0,1.0,1,"yes, definitely"
295888620,Hawaii,0.0,1.0,1.0,1.0,0,"yes, definitely"
296199019,Texas,0.0,0.0,1.0,1.0,1,"yes, definitely"
297495398,Florida,,,,0.0,0,undecided
297527424,Texas,,,,0.0,0,no
297663931,Kansas,0.0,0.0,1.0,1.0,1,"yes, definitely"
297740816,Pennsylvania,0.0,0.0,1.0,1.0,1,"yes, definitely"
298212031,New Jersey,,,,1.0,0,probably
298366800,Texas,,,,0.0,1,undecided
299198520,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
299215351,Florida,1.0,0.0,1.0,1.0,1,i already voted (early or absentee)
299405159,New York,,,,1.0,1,probably
299793268,California,,,,0.0,0,no
299902613,Massachusetts,0.0,1.0,1.0,1.0,0,"yes, definitely"
299908201,Maine,0.0,1.0,1.0,1.0,1,"yes, definitely"
299929287,California,,,,1.0,0,"yes, definitely"
299970279,Maryland,1.0,0.0,1.0,1.0,1,probably
300192534,Florida,,,,0.0,0,no
300268069,North Carolina,,,,0.0,0,no
300276713,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
300404327,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
300471960,Oregon,0.0,0.0,1.0,1.0,1,"yes, definitely"
300472143,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
300475391,Montana,1.0,0.0,1.0,1.0,0,"yes, definitely"
300488631,Arizona,1.0,0.0,1.0,1.0,1,"yes, definitely"
300497686,Pennsylvania,,,,0.0,0,undecided
300529401,Michigan,1.0,0.0,1.0,1.0,1,"yes, definitely"
300578507,Texas,,,,1.0,0,"yes, definitely"
300579464,Washington,0.0,1.0,1.0,1.0,1,"yes, definitely"
300598929,Virginia,,,,0.0,0,no
300678759,California,0.0,1.0,1.0,1.0,0,"yes, definitely"
300756130,California,0.0,0.0,1.0,1.0,1,"yes, definitely"
300771894,South Carolina,0.0,1.0,1.0,1.0,0,"yes, definitely"
300785191,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
300792887,New York,1.0,0.0,1.0,1.0,1,"yes, definitely"
300794462,Florida,0.0,1.0,1.0,1.0,1,"yes, definitely"
300812646,Arkansas,,,,0.0,0,no
300854334,Connecticut,,,,0.0,0,no
300890176,Tennessee,,,,0.0,0,no
300894516,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
300895096,Massachusetts,,,,1.0,1,"yes, definitely"
300897428,Nevada,0.0,1.0,1.0,1.0,1,"yes, definitely"
300912672,Illinois,,,,0.0,0,undecided
300924908,Texas,1.0,0.0,1.0,1.0,0,"yes, definitely"
300931090,California,0.0,1.0,1.0,1.0,0,"yes, definitely"
300937070,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
300985440,New Jersey,0.0,1.0,1.0,1.0,1,"yes, definitely"
300996404,California,1.0,0.0,1.0,1.0,0,"yes, definitely"
301008043,Tennessee,,,,0.0,0,no
301021702,West Virginia,1.0,0.0,1.0,1.0,1,"yes, definitely"
301034555,Oklahoma,0.0,1.0,1.0,1.0,1,"yes, definitely"
301041731,Massachusetts,,,,1.0,1,"yes, definitely"
301041752,Texas,,,,1.0,0,probably
301044953,Indiana,0.0,0.0,1.0,1.0,1,"yes, definitely"
301045806,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301046432,Maryland,0.0,1.0,1.0,1.0,1,"yes, definitely"
301055438,Texas,0.0,1.0,1.0,1.0,1,"yes, definitely"
301061580,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301089549,Wisconsin,0.0,1.0,1.0,1.0,0,"yes, definitely"
301090115,Maryland,0.0,1.0,1.0,1.0,0,"yes, definitely"
301092237,California,1.0,0.0,1.0,1.0,1,"yes, definitely"
301092877,Missouri,1.0,0.0,1.0,1.0,1,"yes, definitely"
301102547,Nevada,0.0,1.0,1.0,1.0,1,"yes, definitely"
301103395,Michigan,1.0,0.0,1.0,1.0,0,"yes, definitely"
301112096,Texas,0.0,1.0,1.0,1.0,1,"yes, definitely"
301113111,Ohio,0.0,1.0,1.0,1.0,0,probably
301113362,Utah,0.0,0.0,1.0,1.0,0,probably
301113419,Pennsylvania,,,,0.0,0,undecided
301113967,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301114401,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301114636,Oklahoma,0.0,1.0,1.0,1.0,0,"yes, definitely"
301114710,Washington,1.0,0.0,1.0,1.0,0,"yes, definitely"
301117572,Missouri,0.0,1.0,1.0,1.0,0,"yes, definitely"
301117815,Wyoming,0.0,1.0,1.0,1.0,1,"yes, definitely"
301121236,Pennsylvania,,,,1.0,0,"yes, definitely"
301121655,New York,0.0,1.0,1.0,1.0,0,"yes, definitely"
301124525,Florida,0.0,1.0,1.0,1.0,1,"yes, definitely"
301124709,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301124791,Maryland,0.0,1.0,1.0,1.0,1,"yes, definitely"
301130433,District Of Columbia,0.0,0.0,1.0,1.0,1,"yes, definitely"
301131047,Illinois,0.0,0.0,1.0,1.0,0,"yes, definitely"
301133359,Oregon,0.0,1.0,1.0,1.0,1,"yes, definitely"
301133627,Florida,1.0,0.0,1.0,1.0,1,"yes, definitely"
301134058,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301153989,New York,0.0,0.0,1.0,1.0,1,"yes, definitely"
301180245,Indiana,1.0,0.0,1.0,1.0,1,"yes, definitely"
301181732,Idaho,0.0,1.0,1.0,1.0,1,"yes, definitely"
301184882,Alabama,,,,1.0,0,probably
301185042,Virginia,0.0,1.0,1.0,1.0,1,"yes, definitely"
301185187,Minnesota,0.0,1.0,1.0,1.0,1,"yes, definitely"
301190366,Virginia,0.0,1.0,1.0,1.0,1,"yes, definitely"
301197289,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301197457,Alabama,0.0,0.0,1.0,1.0,1,"yes, definitely"
301199037,Washington,1.0,0.0,1.0,1.0,1,"yes, definitely"
301204493,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
301227338,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301227666,Georgia,0.0,1.0,1.0,1.0,1,"yes, definitely"
301227687,New York,,,,1.0,1,"yes, definitely"
301236412,Illinois,0.0,1.0,1.0,1.0,0,"yes, definitely"
301237143,Connecticut,1.0,0.0,1.0,1.0,1,"yes, definitely"
301256200,Massachusetts,0.0,1.0,1.0,1.0,1,"yes, definitely"
301278981,Maryland,0.0,1.0,1.0,1.0,0,"yes, definitely"
301317462,Michigan,0.0,0.0,1.0,1.0,0,"yes, definitely"
301317593,Florida,0.0,1.0,1.0,1.0,1,"yes, definitely"
301326200,Missouri,0.0,1.0,1.0,1.0,1,"yes, definitely"
301328552,Ohio,0.0,0.0,1.0,1.0,1,"yes, definitely"
301328555,Maine,1.0,0.0,1.0,1.0,1,"yes, definitely"
301328578,North Carolina,0.0,1.0,1.0,1.0,0,"yes, definitely"
301328590,Virginia,0.0,1.0,1.0,1.0,1,"yes, definitely"
301328674,Missouri,0.0,1.0,1.0,1.0,1,"yes, definitely"
301330430,Michigan,0.0,1.0,1.0,1.0,0,"yes, definitely"
301330810,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301331772,Ohio,1.0,0.0,1.0,1.0,1,"yes, definitely"
301331809,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
301333954,West Virginia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301334756,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
301334843,Washington,0.0,1.0,1.0,1.0,1,"yes, definitely"
301334844,Colorado,1.0,0.0,1.0,1.0,1,"yes, definitely"
301334888,West Virginia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301334907,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
301334947,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301334993,Maine,0.0,1.0,1.0,1.0,0,"yes, definitely"
301335010,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301335030,North Carolina,1.0,0.0,1.0,1.0,1,"yes, definitely"
301337505,California,1.0,0.0,1.0,1.0,1,"yes, definitely"
301338496,South Carolina,1.0,0.0,1.0,1.0,0,"yes, definitely"
301338665,Alabama,1.0,0.0,1.0,1.0,1,"yes, definitely"
301342485,South Carolina,1.0,0.0,1.0,1.0,1,"yes, definitely"
301342561,California,0.0,0.0,1.0,1.0,0,"yes, definitely"
301342610,Wisconsin,0.0,1.0,1.0,1.0,1,"yes, definitely"
301342640,Florida,,,,0.0,0,no
301342659,Pennsylvania,1.0,0.0,1.0,1.0,1,"yes, definitely"
301342781,Oklahoma,0.0,1.0,1.0,1.0,0,"yes, definitely"
301342828,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
301342872,Illinois,,,,0.0,0,no
301345917,Missouri,1.0,0.0,1.0,1.0,1,"yes, definitely"
301345921,California,0.0,1.0,1.0,1.0,0,"yes, definitely"
301346902,Oregon,0.0,1.0,1.0,1.0,1,"yes, definitely"
301346912,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301349844,Minnesota,1.0,0.0,1.0,1.0,1,"yes, definitely"
301350535,Illinois,1.0,0.0,1.0,1.0,0,"yes, definitely"
301350591,Indiana,0.0,1.0,1.0,1.0,1,"yes, definitely"
301350605,California,,,,0.0,0,no
301357245,Minnesota,1.0,0.0,1.0,1.0,1,"yes, definitely"
301360063,California,0.0,0.0,1.0,1.0,1,probably
301362850,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
301362874,Wisconsin,0.0,1.0,1.0,1.0,1,"yes, definitely"
301362947,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
301363343,California,1.0,0.0,1.0,1.0,1,"yes, definitely"
301363356,West Virginia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301363366,California,1.0,0.0,1.0,1.0,1,"yes, definitely"
301363410,Texas,,,,1.0,0,"yes, definitely"
301363421,Florida,1.0,0.0,1.0,1.0,1,"yes, definitely"
301363450,Michigan,1.0,0.0,1.0,1.0,1,"yes, definitely"
301363495,New York,,,,1.0,0,"yes, definitely"
301363503,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301363508,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301363521,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301363527,Texas,,,,1.0,0,"yes, definitely"
301363539,Ohio,0.0,0.0,1.0,1.0,0,"yes, definitely"
301363554,Washington,0.0,1.0,1.0,1.0,0,"yes, definitely"
301363567,Texas,0.0,1.0,1.0,1.0,0,"yes, definitely"
301364957,Indiana,1.0,0.0,1.0,1.0,1,"yes, definitely"
301364962,Texas,0.0,1.0,1.0,1.0,1,"yes, definitely"
301365071,Pennsylvania,0.0,1.0,1.0,1.0,1,"yes, definitely"
301365091,Pennsylvania,1.0,0.0,1.0,1.0,1,"yes, definitely"
301365306,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301365354,Washington,1.0,0.0,1.0,1.0,1,"yes, definitely"
301365525,Illinois,0.0,0.0,1.0,,0,
301365529,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301365633,Illinois,0.0,1.0,1.0,1.0,0,"yes, definitely"
301365635,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301365704,New York,0.0,0.0,1.0,1.0,1,probably
301365715,Pennsylvania,1.0,0.0,1.0,1.0,1,"yes, definitely"
301365811,Georgia,,,,1.0,0,probably
301366181,Nebraska,1.0,0.0,1.0,1.0,1,"yes, definitely"
301366201,Tennessee,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366204,Ohio,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366230,Massachusetts,0.0,0.0,1.0,1.0,1,"yes, definitely"
301366233,Georgia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301366245,Illinois,0.0,0.0,1.0,1.0,1,"yes, definitely"
301366259,Florida,1.0,0.0,1.0,1.0,0,"yes, definitely"
301366268,Wisconsin,1.0,0.0,1.0,1.0,1,"yes, definitely"
301366271,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366279,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366390,Illinois,0.0,0.0,1.0,1.0,1,"yes, definitely"
301366536,Georgia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301366598,Alaska,0.0,0.0,1.0,1.0,1,"yes, definitely"
301366645,Washington,0.0,0.0,1.0,1.0,1,"yes, definitely"
301366648,Arizona,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366653,California,,,,0.0,0,undecided
301366658,Maryland,1.0,0.0,1.0,1.0,1,"yes, definitely"
301366673,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301366680,Oklahoma,1.0,0.0,1.0,1.0,1,"yes, definitely"
301366702,Massachusetts,1.0,0.0,1.0,1.0,0,"yes, definitely"
301366703,Texas,0.0,0.0,1.0,1.0,0,"yes, definitely"
301366709,New York,0.0,1.0,1.0,1.0,0,"yes, definitely"
301366714,Texas,,,,1.0,0,probably
301367701,Kentucky,,,,0.0,0,no
301374863,Kentucky,1.0,0.0,1.0,1.0,1,"yes, definitely"
301374868,Rhode Island,,,,0.0,0,no
301374891,Michigan,,,,0.0,0,no
301374892,Ohio,,,,1.0,0,probably
301376440,California,,,,0.0,0,undecided
301377302,Minnesota,0.0,1.0,1.0,1.0,1,"yes, definitely"
301377504,Texas,,,,1.0,0,probably
301380322,Pennsylvania,,,,0.0,0,no
301383014,Indiana,0.0,1.0,1.0,1.0,1,"yes, definitely"
301385895,Nevada,,,,1.0,0,probably
301386533,North Carolina,1.0,0.0,1.0,1.0,0,"yes, definitely"
301386607,Minnesota,,,,1.0,0,"yes, definitely"
301386623,Pennsylvania,,,,1.0,0,probably
301386637,Ohio,,,,1.0,0,"yes, definitely"
301386647,Massachusetts,,,,1.0,0,probably
301389279,Ohio,0.0,1.0,1.0,1.0,1,"yes, definitely"
301394968,Florida,1.0,0.0,1.0,1.0,0,"yes, definitely"
301397487,Colorado,0.0,1.0,1.0,1.0,1,"yes, definitely"
301397670,Minnesota,1.0,0.0,1.0,1.0,1,"yes, definitely"
301399783,West Virginia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301399885,Massachusetts,0.0,1.0,1.0,1.0,0,"yes, definitely"
301399901,Utah,0.0,0.0,1.0,1.0,1,"yes, definitely"
301400021,Idaho,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400052,Ohio,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400064,California,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400066,Minnesota,,,,0.0,0,undecided
301400071,Wisconsin,0.0,0.0,1.0,1.0,1,"yes, definitely"
301400073,South Carolina,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400100,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400105,Minnesota,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400122,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400290,Ohio,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400358,California,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400362,South Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400379,Pennsylvania,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400417,Ohio,,,,1.0,0,"yes, definitely"
301400428,Oregon,0.0,0.0,1.0,1.0,1,"yes, definitely"
301400430,Ohio,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400441,New Hampshire,,,,1.0,0,"yes, definitely"
301400447,Arizona,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400467,Virginia,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400471,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400473,Texas,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400492,Maine,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400497,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400509,Virginia,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400518,Washington,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400527,Texas,1.0,0.0,1.0,0.0,0,no
301400583,Illinois,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400590,North Carolina,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400613,Wisconsin,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400623,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400630,Texas,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400643,North Carolina,,,,0.0,0,undecided
301400668,Ohio,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400683,Illinois,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400701,Ohio,0.0,1.0,1.0,1.0,1,probably
301400714,Nebraska,0.0,0.0,1.0,1.0,1,"yes, definitely"
301400734,Iowa,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400752,South Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400766,Georgia,,,,1.0,0,probably
301400860,Pennsylvania,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400883,Connecticut,,,,1.0,0,"yes, definitely"
301400884,Idaho,,,,1.0,0,probably
301400898,Pennsylvania,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400905,Alabama,0.0,1.0,1.0,1.0,1,"yes, definitely"
301400941,California,1.0,0.0,1.0,1.0,0,"yes, definitely"
301400961,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
301400971,Michigan,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401012,New Jersey,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401015,Oregon,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401026,Nebraska,1.0,0.0,1.0,1.0,0,"yes, definitely"
301401042,North Carolina,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401152,Texas,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401158,West Virginia,0.0,0.0,1.0,1.0,1,"yes, definitely"
301401192,Kentucky,,,,0.0,0,no
301401202,Texas,,,,0.0,0,undecided
301401246,Virginia,0.0,1.0,1.0,1.0,0,"yes, definitely"
301401298,Ohio,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401335,New York,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401339,Oregon,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401398,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401406,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401474,California,1.0,0.0,1.0,1.0,1,"yes, definitely"
301401513,Pennsylvania,1.0,0.0,1.0,1.0,0,"yes, definitely"
301401569,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301401578,South Carolina,0.0,1.0,1.0,1.0,0,"yes, definitely"
301401602,North Carolina,,,,0.0,0,no
301401628,North Carolina,0.0,1.0,1.0,1.0,1,"yes, definitely"
301402771,California,0.0,1.0,1.0,1.0,1,"yes, definitely"
301402791,Arizona,1.0,0.0,1.0,1.0,0,"yes, definitely"
301402800,Florida,1.0,0.0,1.0,1.0,1,"yes, definitely"
301402971,Illinois,0.0,0.0,1.0,1.0,1,"yes, definitely"
301403107,Missouri,0.0,0.0,1.0,1.0,0,probably
