caseid,state_name,X_trump,X_harris,selfvoted_2024,likely_voter,validated_voter,CC24_363_names
1853651564,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853655732,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852716424,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853644254,California,,,,1.0,1,Probably
1853644132,Montana,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853656212,Virginia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853838260,Texas,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1853838902,Michigan,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1853845114,South Carolina,,,,0.0,0,No
1853847090,Oregon,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853842302,New Jersey,,,,1.0,0,Probably
1853842346,Michigan,,,0.0,1.0,1,Probably
1853838800,Tennessee,,,,0.0,0,No
1853838438,South Carolina,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1853843016,California,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853843336,Connecticut,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853843040,Illinois,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853838562,New York,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1853842874,Mississippi,,,,1.0,0,Probably
1853840102,Kansas,1.0,0.0,1.0,1.0,1,Probably
1853843180,Florida,0.0,1.0,1.0,0.0,1,Undecided
1852847580,Kentucky,1.0,0.0,1.0,1.0,1,Probably
1853843920,North Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853852538,Iowa,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853842654,New Jersey,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852761258,Louisiana,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854039704,California,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853708950,Ohio,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1850809946,Illinois,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1854046792,Georgia,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
