question_id,pct_harris_poll,pct_trump_poll,poll_id,pollster,state,start_date,end_date,mode,population,sample_size,pct_dk,p_trump_true,p_harris_true,abs_margin,A,trump_part_A,harris_part_A,poll_level,duration_days,days_before_election,turnout_pct,base_mode,mode_App Panel,mode_Email,mode_IVR,mode_Mail_to_Phone,mode_Mail_to_Web,mode_Online Ad,mode_Online Matched Sample,mode_Online Opt_In Panel,mode_Probability Panel,mode_Text,mode_Text_to_Web
203620,39.3,40.2,87509,Praecones Analytica,new hampshire,2024-07-19,2024-07-21,,rv,601.0,0.0,0.478731864016587,0.5065281672837572,0.02779630326717014,0.07908175268110039,-0.17468856920860776,-0.25377032188970816,state,3,107,74.05,,0,0,0,0,0,0,0,0,0,0,0
203624,43.0,51.0,87511,SoCal Research,national,2024-07-21,2024-07-21,Online Ad,lv,800.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.14062111150471396,0.023599925686044965,-0.11702118581866894,national,1,107,64.07,Online Ad,0,0,0,0,0,1,0,0,0,0,0
203625,37.0,43.0,87511,SoCal Research,national,2024-07-21,2024-07-21,Online Ad,lv,800.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.12027779752328828,-0.14702559134471838,-0.26730338886800686,national,1,107,64.07,Online Ad,0,0,0,0,0,1,0,0,0,0,0
203665,46.0,50.0,87518,SoCal Research,pennsylvania,2024-07-20,2024-07-21,Online Ad,lv,500.0,4.0,0.5037253671558666,0.4866280572391539,0.017097309916712655,0.04885048426695596,-0.007423114696938016,-0.056273598963893834,state,2,107,71.43,Online Ad,0,0,0,0,0,1,0,0,0,0,0
203669,47.0,49.0,87520,Echelon Insights,national,2024-07-19,2024-07-21,Online Opt-In Panel,lv,982.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,-0.016405408927654186,-0.02807369980217278,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203736,47.0,53.0,87521,HarrisX,national,2024-07-19,2024-07-21,Online Opt-In Panel,rv,2753.0,0.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0901399063160137,0.06206620651384109,-0.02807369980217278,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203737,46.0,54.0,87521,HarrisX,national,2024-07-19,2024-07-21,Online Opt-In Panel,lv,2169.0,0.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.13033824454912987,0.08075833952599365,-0.04957990502313625,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203777,45.0,47.0,87523,Morning Consult,national,2024-07-21,2024-07-22,Online Opt-In Panel,rv,4001.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.01348070641368928,-0.05807810532822222,-0.07155881174191159,national,2,106,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203794,47.0,49.0,87524,Quinnipiac,national,2024-07-19,2024-07-21,Live Phone,rv,1257.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,-0.016405408927654186,-0.02807369980217278,national,3,107,64.07,Live Phone,0,0,0,0,0,0,0,0,0,0,0
203795,41.0,45.0,87524,Quinnipiac,national,2024-07-19,2024-07-21,Live Phone,rv,1257.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.06308601753996243,-0.10156321726796103,-0.1646492348079236,national,3,107,64.07,Live Phone,0,0,0,0,0,0,0,0,0,0,0
203852,42.6,47.4,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.07676356989965638,-0.049603478337249984,-0.1263670482369066,national,3,107,64.07,IVR,0,0,1,0,0,0,0,0,0,0,0
203852,42.6,47.4,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.07676356989965638,-0.049603478337249984,-0.1263670482369066,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203853,43.6,48.9,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,7.5,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.08471584059978812,-0.01844831055745444,-0.10316415115724276,national,3,107,64.07,IVR,0,0,1,0,0,0,0,0,0,0,0
203853,43.6,48.9,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,7.5,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.08471584059978812,-0.01844831055745444,-0.10316415115724276,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203854,38.2,44.1,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,7.699999999999989,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.11361986131422125,-0.12176592458548041,-0.23538578589970183,national,3,107,64.07,IVR,0,0,1,0,0,0,0,0,0,0,0
203854,38.2,44.1,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,7.699999999999989,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.11361986131422125,-0.12176592458548041,-0.23538578589970183,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203855,39.3,45.3,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,6.6000000000000085,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1120781080877232,-0.09491867454929248,-0.20699678263701593,national,3,107,64.07,IVR,0,0,1,0,0,0,0,0,0,0,0
203855,39.3,45.3,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,6.6000000000000085,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1120781080877232,-0.09491867454929248,-0.20699678263701593,national,3,107,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203943,41.0,43.0,87529,YouGov,national,2024-07-19,2024-07-22,Online Matched Sample,rv,1178.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.017623643463205125,-0.14702559134471838,-0.1646492348079236,national,4,106,64.07,Online Matched Sample,0,0,0,0,0,0,1,0,0,0,0
203944,46.0,46.0,87529,YouGov,national,2024-07-19,2024-07-22,Online Matched Sample,rv,1178.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,-0.07958431054918569,-0.04957990502313625,national,4,106,64.07,Online Matched Sample,0,0,0,0,0,0,1,0,0,0,0
203948,39.0,39.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,a,1241.0,22.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,-0.24466406090863435,-0.2146596553825849,national,2,105,64.07,Probability Panel,0,0,0,0,0,0,0,0,1,0,0
203949,44.0,42.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,rv,1018.0,14.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.07652442116094241,-0.17055608875491246,-0.09403166759397019,national,2,105,64.07,Probability Panel,0,0,0,0,0,0,0,0,1,0,0
203950,37.0,34.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,a,1241.0,19.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.11456179355411261,-0.3818651824221192,-0.26730338886800686,national,2,105,64.07,Probability Panel,0,0,0,0,0,0,0,0,1,0,0
203951,42.0,38.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,rv,1018.0,12.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.13008786408303213,-0.270639547311895,-0.14055168322886302,national,2,105,64.07,Probability Panel,0,0,0,0,0,0,0,0,1,0,0
203979,45.0,46.0,87531,Marist College,national,2024-07-22,2024-07-22,Online Opt-In Panel,rv,1117.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.008025498807274375,-0.07958431054918569,-0.07155881174191159,national,1,106,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
203980,42.0,42.0,87531,Marist College,national,2024-07-22,2024-07-22,Online Opt-In Panel,rv,1117.0,7.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,-0.17055608875491246,-0.14055168322886302,national,1,106,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204025,46.7,48.0,87534,Landmark Communications,georgia,2024-07-22,2024-07-22,,lv,400.0,5.299999999999997,0.5071729539955493,0.4852529230675474,0.021920030928001877,-0.016724985457625265,-0.05506597365802979,-0.038340988200404436,state,1,106,68.26,,0,0,0,0,0,0,0,0,0,0,0
204026,44.3,45.8,87534,Landmark Communications,georgia,2024-07-22,2024-07-22,,lv,400.0,4.200000000000003,0.5071729539955493,0.4852529230675474,0.021920030928001877,-0.010882417621615324,-0.10198289344578149,-0.09110047582416625,state,1,106,68.26,,0,0,0,0,0,0,0,0,0,0,0
204062,41.0,44.0,87536,YouGov,national,2024-07-21,2024-07-23,Online Matched Sample,rv,1435.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.04061316168790374,-0.12403607312001963,-0.1646492348079236,national,3,105,64.07,Online Matched Sample,0,0,0,0,0,0,1,0,0,0,0
204106,49.5,50.5,87537,ActiVote,national,2024-07-21,2024-07-23,App Panel,lv,1000.0,0.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.01000373881938013,0.01374762924303341,0.02375136806241329,national,3,105,64.07,App Panel,1,0,0,0,0,0,0,0,0,0,0
204123,46.0,48.0,87539,RMG Research,national,2024-07-22,2024-07-23,,rv,2000.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.01255520889274629,-0.037024696130389834,-0.04957990502313625,national,2,105,64.07,,0,0,0,0,0,0,0,0,0,0,0
204126,45.0,47.0,87540,North Star Opinion Research,pennsylvania,2024-07-20,2024-07-23,Live Phone,lv,600.0,8.0,0.5037253671558666,0.4866280572391539,0.017097309916712655,0.008953987267643808,-0.06929851841502555,-0.07825250568266917,state,4,105,71.43,Live Phone,0,0,0,0,0,0,0,0,0,0,0
204136,37.6,38.2,87541,Big Village,national,2024-07-22,2024-07-24,Online Opt-In Panel,a,2016.0,14.900000000000006,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.014172940309368916,-0.26539019142575127,-0.2512172511163825,national,3,104,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204137,40.5,41.6,87541,Big Village,national,2024-07-22,2024-07-24,Online Opt-In Panel,rv,1687.0,8.199999999999989,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.0032062123713254096,-0.18012553977106305,-0.1769193273997378,national,3,104,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204138,42.7,44.3,87541,Big Village,national,2024-07-22,2024-07-24,Online Opt-In Panel,lv,1492.0,4.900000000000006,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.006781351290461238,-0.11724102998719088,-0.1240223812776523,national,3,104,64.07,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204148,47.4,52.6,87542,Emerson,arizona,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5223002024890546,0.4670141701031977,0.05528603238585694,-0.007789032044839472,0.007058689608274493,0.014847721653113877,state,2,105,63.6,IVR,0,0,1,0,0,0,0,0,0,0,0
204148,47.4,52.6,87542,Emerson,arizona,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5223002024890546,0.4670141701031977,0.05528603238585694,-0.007789032044839472,0.007058689608274493,0.014847721653113877,state,2,105,63.6,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204148,47.4,52.6,87542,Emerson,arizona,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5223002024890546,0.4670141701031977,0.05528603238585694,-0.007789032044839472,0.007058689608274493,0.014847721653113877,state,2,105,63.6,Text-to-Web,0,0,0,0,0,0,0,0,0,0,1
204149,48.9,51.1,87543,Emerson,georgia,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5071729539955493,0.4852529230675474,0.021920030928001877,-0.00017473096183211518,0.007517512643738011,0.007692243605570193,state,2,105,68.26,IVR,0,0,1,0,0,0,0,0,0,0,0
204149,48.9,51.1,87543,Emerson,georgia,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5071729539955493,0.4852529230675474,0.021920030928001877,-0.00017473096183211518,0.007517512643738011,0.007692243605570193,state,2,105,68.26,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204149,48.9,51.1,87543,Emerson,georgia,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.5071729539955493,0.4852529230675474,0.021920030928001877,-0.00017473096183211518,0.007517512643738011,0.007692243605570193,state,2,105,68.26,Text-to-Web,0,0,0,0,0,0,0,0,0,0,1
204150,49.1,50.9,87544,Emerson,michigan,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.4972710995013228,0.4831290850971348,0.014142014404187997,0.007152414417095656,0.023312667335929516,0.016160252918833717,state,2,105,74.64,IVR,0,0,1,0,0,0,0,0,0,0,0
204150,49.1,50.9,87544,Emerson,michigan,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.4972710995013228,0.4831290850971348,0.014142014404187997,0.007152414417095656,0.023312667335929516,0.016160252918833717,state,2,105,74.64,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204150,49.1,50.9,87544,Emerson,michigan,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,800.0,0.0,0.4972710995013228,0.4831290850971348,0.014142014404187997,0.007152414417095656,0.023312667335929516,0.016160252918833717,state,2,105,74.64,Text-to-Web,0,0,0,0,0,0,0,0,0,0,1
204151,50.6,49.4,87545,Emerson,wisconsin,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,845.0,0.0,0.495958711251628,0.4873704248830968,0.008588286368531206,-0.041469371918720015,-0.0039571626277787875,0.03751220929094112,state,2,105,76.64,IVR,0,0,1,0,0,0,0,0,0,0,0
204151,50.6,49.4,87545,Emerson,wisconsin,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,845.0,0.0,0.495958711251628,0.4873704248830968,0.008588286368531206,-0.041469371918720015,-0.0039571626277787875,0.03751220929094112,state,2,105,76.64,Online Opt-In Panel,0,0,0,0,0,0,0,1,0,0,0
204151,50.6,49.4,87545,Emerson,wisconsin,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,845.0,0.0,0.495958711251628,0.4873704248830968,0.008588286368531206,-0.041469371918720015,-0.0039571626277787875,0.03751220929094112,state,2,105,76.64,Text-to-Web,0,0,0,0,0,0,0,0,0,0,1
204152,48.9,51.1,87546,Emerson,pennsylvania,2024-07-22,2024-07-23,IVR/Online Opt-In Panel/Text-to-Web,rv,850.0,0.0,0.5037253671558666,0.4866280572391539,0.017097309916712655,0.009475976056737301,0.014338377084574638,0.004862401027837415,state,2,105,71.43,IVR,0,0,1,0,0,0,0,0,0,0,0
