pollster,house_effect,n_polls
Suffolk,5.177971527978831,1
Public Opinion Strategies,4.0708415591224,1
Washington Post/George Mason University,3.0062850121143656,2
RMG Research,2.9301106977395364,1
PPP,2.902960670779971,3
Data Orbital,2.67179373759319,2
Emerson,2.074868365879319,8
Navigator,1.846958563218915,2
Peak Insights,1.7320496919368606,1
Fabrizio/McLaughlin,1.2810526969569374,1
AtlasIntel,1.1751354981117934,12
Siena/NYT,1.075245140726083,18
Fabrizio/Impact,1.0009544276603184,2
OnMessage Public Strategies,0.9301106977395364,1
Noble Predictive Insights,0.8394867497142595,3
CNN/SSRS,0.7622556340412323,2
Beacon/Shaw,0.6627588364664665,6
InsiderAdvantage,0.6471419793555402,5
OnMessage Inc.,0.5381495367248998,1
U. Arizona/TrueDot,0.5269919172801547,2
Spry Strategies,0.5084296767526917,2
CES / YouGov,0.3982583546232455,2
Redfield & Wilton Strategies,0.1894179900703459,12
Patriot Polling,0.18263710981547066,2
Trafalgar Group,0.1313741831193484,5
Mitchell,-0.05338408760962571,2
Marist College,-0.09999522393123589,4
Iron Light,-0.2679503080631394,1
ActiVote,-0.539393264712154,2
J.L. Partners,-0.6929578139658275,1
Strategies 360,-0.7933126447966148,1
TIPP,-0.8531402421032828,4
YouGov,-1.0578704269717965,5
Data for Progress,-1.2919136689432875,1
Global Strategy Group/North Star Opinion Research,-1.3744209237451308,2
Focaldata,-1.6247031618133367,10
National Research,-1.8744209237451308,1
Morning Consult,-1.9667766048394286,19
SoCal Strategies,-2.0228900541108406,2
HighGround,-2.3002884010819997,3
Victory Insights,-3.121375792209535,1
Benenson Strategy Group/GS Strategy Group,-3.3070459639365164,4
Fabrizio/GBAO,-3.5778901108039785,2
RABA Research,-3.869274483585183,1
