pollster,house_effect,n_polls
Suffolk,5.061914148612902,1
Public Opinion Strategies,4.78177777101384,1
Washington Post/George Mason University,2.978118377047404,2
RMG Research,2.9204455859486718,1
Navigator,2.574709128956312,2
Data Orbital,2.3820075494726884,2
Emerson,2.36026489689482,7
Noble Predictive Insights,1.519547729969709,3
Fabrizio/McLaughlin,1.3434953263148224,1
Spry Strategies,1.3255968893514236,2
Siena/NYT,1.236228821829597,16
Fabrizio/Impact,0.9785478114457467,2
AtlasIntel,0.9687998125860122,12
OnMessage Public Strategies,0.920445585948672,1
CNN/SSRS,0.7206589508804047,2
Beacon/Shaw,0.6716992284530858,6
U. Arizona/TrueDot,0.46754835908465314,2
Redfield & Wilton Strategies,0.30076953743739854,12
InsiderAdvantage,0.2564693425321795,3
CES / YouGov,0.24053889399895895,2
Strategies 360,0.18648522937938966,1
OnMessage Inc.,0.13698651792042787,1
Trafalgar Group,0.10209672983204462,5
Patriot Polling,0.032948000123039944,2
Marist College,-0.21676654946329205,4
Mitchell,-0.28565109222829027,2
ActiVote,-0.7740993534459528,2
J.L. Partners,-0.8697232562426678,1
TIPP,-1.0324514648865126,4
YouGov,-1.389312069979232,5
Data for Progress,-1.6169461579049293,1
National Research,-1.9183937796495465,1
HighGround,-2.129862599919912,3
Morning Consult,-2.148726909457291,18
SoCal Strategies,-2.206681108474878,2
Benenson Strategy Group/GS Strategy Group,-3.0458464808248613,4
Victory Insights,-3.307338678705395,1
RABA Research,-4.068835307214367,1
Focaldata,-4.216795054153889,3
