pollster,house_effect,n_polls
PPP,5.362637482909185,2
Suffolk,4.6332696389280175,1
Public Opinion Strategies,3.825888245444733,1
Washington Post/George Mason University,2.7763112245385515,2
RMG Research,2.501808221225905,1
Emerson,2.416450005287231,8
Data Orbital,2.3874578862754876,2
AtlasIntel,1.656371682376962,12
Fabrizio/McLaughlin,1.3261706844556131,1
Navigator,1.129862895847191,2
Siena/NYT,1.0912767881134529,18
Patriot Polling,0.8926600285889054,2
OnMessage Inc.,0.8872105036422174,1
Fabrizio/Impact,0.5248537072129423,2
CNN/SSRS,0.5094833366593768,2
Noble Predictive Insights,0.5035725588340169,3
OnMessage Public Strategies,0.5018082212259053,1
InsiderAdvantage,0.4586795710996452,3
U. Arizona/TrueDot,0.20235771364332872,2
Beacon/Shaw,0.11235961702872882,6
Trafalgar Group,0.10769380052375646,5
CES / YouGov,0.08151810323151282,2
Mitchell,-0.020998073441442174,2
Spry Strategies,-0.0944155514655432,2
Redfield & Wilton Strategies,-0.12494744897370799,12
ActiVote,-0.29492652817108295,2
Marist College,-0.6006724461285168,4
YouGov,-0.8358544223233811,5
J.L. Partners,-0.9465687563319475,1
Data for Progress,-1.0800470362082273,1
TIPP,-1.2548740172585438,4
Victory Insights,-1.3892253355180186,1
Strategies 360,-1.7040923641905026,1
SoCal Strategies,-1.915011420009133,2
Morning Consult,-2.172855799644896,19
National Research,-2.430523550579178,1
HighGround,-2.85730336674586,3
Focaldata,-3.1472694044487155,3
Benenson Strategy Group/GS Strategy Group,-3.9442277576848377,4
RABA Research,-3.9839887047630285,1
