pollster,house_effect,n_polls
Data Orbital,5.777991759367066,1
Siena/NYT,2.7281488287205597,8
Washington Post/George Mason University,2.4786639574079117,2
AtlasIntel,2.0579616261328035,10
Patriot Polling,1.4776750700006185,1
Fabrizio/McLaughlin,0.9786040780893257,1
OnMessage Inc.,0.9778157491280579,1
InsiderAdvantage,0.6780909828464498,2
Emerson,0.1781532517060638,2
Redfield & Wilton Strategies,-0.02170018631646059,5
CES / YouGov,-0.02183248276740298,2
Mitchell,-0.022008240632938235,2
Trafalgar Group,-0.12185856081279633,3
ActiVote,-0.4218184989045978,2
YouGov,-0.8220133864388135,5
J.L. Partners,-1.0218936548690147,1
Data for Progress,-1.0221257486373412,1
Noble Predictive Insights,-1.0221257486373412,1
Victory Insights,-1.2223249299993773,1
HighGround,-1.421515838419187,1
Marist College,-1.5216434630703728,2
SoCal Strategies,-2.071784719146681,2
Morning Consult,-2.1715875241510254,6
U. Arizona/TrueDot,-2.691515838419183,1
CNN/SSRS,-3.0218936548690145,1
Focaldata,-3.0222456971092524,3
Fabrizio/GBAO,-4.021391300699946,2
RABA Research,-4.021951324855424,1
