pollster,house_effect,n_polls
Quinnipiac,4.643930876239591,6
Fabrizio/McLaughlin,4.377400291601213,1
Florida Atlantic University/Mainstreet Research,2.962618439417751,10
OnMessage Public Strategies,2.556764958174671,1
RMG Research,2.338861965575783,1
U. Georgia SPIA,2.029930366679094,3
CES / YouGov,1.90298658093144,2
Trafalgar Group,1.1234842588036533,3
InsiderAdvantage,1.0814425777018304,5
Siena/NYT,0.9851821428921239,14
National Public Affairs,0.9354926584448401,1
East Carolina University,0.7012539859969831,2
YouGov,0.6683124216983,5
SoCal Research,0.6405081558123774,1
AtlasIntel,0.47935702570564265,12
ActiVote,0.4509072617725013,3
The Citadel,0.4029865809314396,2
Redfield & Wilton Strategies,0.2205502772259674,13
Patriot Polling,0.1608609704425167,2
Emerson,0.07704889799843914,7
Global Strategy Group/North Star Opinion Research,0.031901427825042156,2
SoCal Strategies,-0.17999887339911455,1
Spry Strategies,-0.6194474501897737,2
Benenson Strategy Group/GS Strategy Group,-0.7282345749015245,4
CNN/SSRS,-0.9235660629948582,2
Morning Consult,-1.0204159708828764,19
Marist College,-1.0218125525306003,4
Fabrizio/Impact,-1.5387847508564294,2
Landmark Communications,-1.7583782863891158,2
TIPP,-1.9572173930761714,8
Fabrizio/GBAO,-2.0847673659631027,2
Focaldata,-2.1075426466700393,10
Institute for Global Affairs/YouGov,-2.2446200484388172,1
Data for Progress,-2.279030822990286,1
Bullfinch,-2.554734194414459,1
Beacon/Shaw,-2.9604414805272032,6
PPP,-3.5916928947330113,1
Washington Post/George Mason University,-5.833988256695445,2
