pollster,house_effect,n_polls
Quinnipiac,4.726943094312313,6
Fabrizio/McLaughlin,4.453671656279605,1
OnMessage Public Strategies,2.6315181965348473,1
U. Georgia SPIA,2.5716658044540126,2
RMG Research,2.4190396548898945,1
Florida Atlantic University/Mainstreet Research,2.224895021832354,2
SoCal Research,1.9915964035453815,1
CES / YouGov,1.9552750509617645,2
Siena/NYT,1.6733859534982556,12
Trafalgar Group,1.1991473398060686,3
National Public Affairs,0.9927550530131807,1
East Carolina University,0.7453565160919278,2
YouGov,0.6972583800296297,5
Redfield & Wilton Strategies,0.5357581170224867,13
AtlasIntel,0.5246317610440528,12
ActiVote,0.49673375446969253,3
The Citadel,0.45527505096176435,2
Patriot Polling,0.19626987027912002,2
Global Strategy Group/North Star Opinion Research,0.13391916593046327,2
Emerson,0.04509890140749931,6
Spry Strategies,-0.10312590212341022,2
Benenson Strategy Group/GS Strategy Group,-0.12141497231800802,4
SoCal Strategies,-0.13481521185584355,1
Landmark Communications,-0.15937529425931996,2
InsiderAdvantage,-0.2719656661083389,4
Fabrizio/Impact,-0.41230126044297,2
CNN/SSRS,-0.8278792019058697,2
Marist College,-0.8994374984360906,4
Morning Consult,-0.9483227260811905,18
Institute for Global Affairs/YouGov,-1.8249545400421234,1
TIPP,-1.827162573093302,8
Focaldata,-1.8581968187952702,10
Fabrizio/GBAO,-2.0132652209144117,2
Data for Progress,-2.2871575967457436,1
Bullfinch,-2.364096625413207,1
PPP,-2.4285920490068142,1
Beacon/Shaw,-2.7667364621066004,6
Washington Post/George Mason University,-5.744435116887227,2
