pollster,house_effect,n_polls
Quinnipiac,4.01255566281803,6
Fabrizio/McLaughlin,3.8787532175357358,1
Florida Atlantic University/Mainstreet Research,3.566988324069701,10
OnMessage Public Strategies,1.91028792586122,1
U. Georgia SPIA,1.9005483198692004,3
CES / YouGov,1.8790676727433075,2
RMG Research,1.8696997541191724,1
SoCal Research,1.0922857837179418,1
Siena/NYT,0.9009410655939272,14
National Public Affairs,0.872820119672848,1
YouGov,0.7369708483824859,5
Trafalgar Group,0.6564970938358334,3
East Carolina University,0.6475362943110716,2
AtlasIntel,0.6174460301089402,12
The Citadel,0.3790676727433075,2
Emerson,0.2709871628324187,7
ActiVote,0.21413644613459376,3
Patriot Polling,0.07210513448053008,2
Redfield & Wilton Strategies,-0.0035654533504830953,13
SoCal Strategies,-0.10616104567040147,1
InsiderAdvantage,-0.15979500888872794,3
Spry Strategies,-0.7855072055376713,2
Benenson Strategy Group/GS Strategy Group,-0.9182133560668477,4
CNN/SSRS,-1.2153212493675467,2
Fabrizio/Impact,-1.2513223169481387,2
Morning Consult,-1.2808369545983838,19
Marist College,-1.4002523066199022,4
Data for Progress,-2.038558289034834,1
Focaldata,-2.3459671427415256,3
TIPP,-2.4894477141449696,8
Institute for Global Affairs/YouGov,-2.556515332633886,1
Bullfinch,-3.1764679432015233,1
Beacon/Shaw,-3.5734258172361812,6
Washington Post/George Mason University,-6.165455950280755,2
