pollster,house_effect,n_polls
Quinnipiac,4.339899198143044,6
Fabrizio/McLaughlin,4.173821686791852,1
SoCal Research,2.665976934231354,1
U. Georgia SPIA,2.223432862608173,2
CES / YouGov,2.174248652973146,2
OnMessage Public Strategies,2.17386228424169,1
RMG Research,2.1738022386548295,1
Siena/NYT,1.8385874992033964,12
Florida Atlantic University/Mainstreet Research,1.671947936625116,2
National Public Affairs,1.1741880167828889,1
YouGov,0.974542900016841,5
Trafalgar Group,0.9737409177331312,3
East Carolina University,0.9242702445396463,2
AtlasIntel,0.8661076322323644,12
The Citadel,0.6742486529731456,2
Landmark Communications,0.5658019873506573,2
Redfield & Wilton Strategies,0.5565191007376451,13
ActiVote,0.5070914876844621,3
Patriot Polling,0.373222137931156,2
Emerson,0.204008683158362,6
SoCal Strategies,0.17438888289738166,1
Fabrizio/Impact,0.16636810245463432,2
Spry Strategies,0.018757092080893184,2
Benenson Strategy Group/GS Strategy Group,-0.07996673944842222,4
InsiderAdvantage,-0.3016289957575771,4
Global Strategy Group/North Star Opinion Research,-0.3262878643212851,2
CNN/SSRS,-0.8274317934305201,2
Morning Consult,-1.068529402383125,18
Marist College,-1.0762359691475532,4
Data for Progress,-1.8251863602188365,1
Institute for Global Affairs/YouGov,-1.8307845778317045,1
PPP,-1.8337127597591583,1
Focaldata,-1.8418892269442124,10
TIPP,-2.126523761588435,8
Fabrizio/GBAO,-2.326160132356155,2
Bullfinch,-2.826606153477919,1
Beacon/Shaw,-3.160982241393651,6
Washington Post/George Mason University,-5.826251485655778,2
