pollster,house_effect,n_polls
SoCal Research,4.84447797666036,1
PPP,4.572164582506876,2
Global Strategy Group/North Star Opinion Research,2.957856625152596,2
AtlasIntel,2.7835690630029704,12
Fabrizio Ward,2.394944122353569,2
Public Opinion Strategies,2.2552883676716324,1
Trafalgar Group,2.18192314510281,4
The Washington Post,2.146097107803726,2
Fabrizio/Impact,2.1316551928479344,4
Navigator,1.8319577829251903,2
Fabrizio/McLaughlin,1.6519595131663498,1
InsiderAdvantage,1.569342248003885,5
co/efficient,1.5370145898693257,1
Siena/NYT,1.4632068155618803,14
Echelon Insights,1.4163403525363862,2
OnMessage Inc.,1.3051162344445524,1
EPIC-MRA,1.2633185988364213,3
Civiqs,1.0945977443221329,1
Z to A Research,1.0719293443527687,2
Redfield & Wilton Strategies,1.0583246162753772,12
Quantus Insights,0.9460971078037237,1
Patriot Polling,0.9221696856372503,3
Mitchell,0.7487344714606836,8
Emerson,0.7455761533218666,7
Suffolk,0.713955341840905,2
Cygnal,0.6310387023579782,1
Beacon/Shaw,0.5686692745617303,6
Washington Post/George Mason University,0.37635620915776274,2
ActiVote,0.32922599355039794,3
Glengariff Group Inc.,0.16678184504498433,4
MRG (Marketing Resource Group),-0.16748252486383824,1
SoCal Strategies,-0.195429624996105,1
TIPP,-0.29624613813062634,4
Remington,-0.48897907913692046,1
RMG Research,-0.5139461124257865,2
Quinnipiac,-0.54692831542444,6
YouGov,-0.8206320310074549,7
Benenson Strategy Group/GS Strategy Group,-1.1091921460697292,4
OnMessage Public Strategies,-1.1119211171030459,1
Florida Atlantic University/Mainstreet Research,-1.3295594109001891,2
Fabrizio/GBAO,-1.3961410118609974,2
Marist College,-2.0048153901339965,4
Research Co.,-2.1871535104337267,2
Morning Consult,-2.2406401466940586,19
University of Massachusetts Lowell/YouGov,-2.9471709971126385,2
Focaldata,-3.11665914422984,10
CNN/SSRS,-3.345636739628001,2
Susquehanna,-3.516930324808296,1
Michigan State University/YouGov,-4.106122078966998,1
CES / YouGov,-4.457114796708115,2
RG Strategies,-4.735863061714933,1
Bullfinch,-5.1669240087487,4
