pollster,house_effect,n_polls
AtlasIntel,2.523269174195542,10
The Washington Post,2.2498766217020214,2
Suffolk,2.160551274171573,1
Trafalgar Group,2.1575722339824974,2
Siena/NYT,2.0697081729058495,4
InsiderAdvantage,1.8552940754843694,3
Echelon Insights,1.5059341436848348,2
Fabrizio/McLaughlin,1.4856227793756762,1
OnMessage Inc.,1.3510588704723971,1
Redfield & Wilton Strategies,1.2915410492767514,5
Patriot Polling,1.1981026639036212,2
RMG Research,1.128760026048643,1
Quinnipiac,1.1098674967597428,4
Quantus Insights,1.0498766217020186,1
Fabrizio/Impact,0.8562267315166767,2
Emerson,0.5788287261980327,3
Washington Post/George Mason University,0.5550147418220321,2
Mitchell,0.408804470269807,4
SoCal Strategies,-0.13483230572631139,1
MRG (Marketing Resource Group),-0.2140328242263856,1
ActiVote,-0.24733452385924265,2
Beacon/Shaw,-0.2501233782979785,4
Morning Consult,-0.7162320395870747,6
Glengariff Group Inc.,-1.0661484689428262,1
Florida Atlantic University/Mainstreet Research,-1.1802918270941503,2
EPIC-MRA,-1.2501233782979786,1
Marist College,-1.4940658563151652,2
Fabrizio/GBAO,-1.6437732684833233,2
YouGov,-1.6489411295276029,4
University of Massachusetts Lowell/YouGov,-2.0661484689428264,1
Research Co.,-2.264381076405405,2
CNN/SSRS,-3.2501233782979786,1
Susquehanna,-3.339448725828427,1
CES / YouGov,-4.106804153540121,2
Michigan State University/YouGov,-4.210129379838563,1
Focaldata,-4.886394139366627,3
Bullfinch,-6.805244384850446,2
