pollster,house_effect,n_polls
PPP,4.80945164138373,2
SoCal Research,4.3101971306370155,1
Global Strategy Group/North Star Opinion Research,3.3091887003489378,2
AtlasIntel,3.24488883821222,12
Trafalgar Group,2.51067207629111,4
Fabrizio/McLaughlin,2.3094061628573335,1
Fabrizio/Impact,2.060027553019529,4
The Washington Post,1.8121477397886154,2
Fabrizio Ward,1.8104122683384534,2
InsiderAdvantage,1.5308877801321612,5
Siena/NYT,1.4531146509958035,14
OnMessage Inc.,1.3124443187206556,1
Echelon Insights,1.3123414627499468,2
Public Opinion Strategies,1.3105176911792193,1
co/efficient,1.3098684298946466,1
Civiqs,1.3094911993444591,1
Patriot Polling,1.1447810195137387,3
Mitchell,1.0728464333523628,8
EPIC-MRA,0.9774859365341165,3
Redfield & Wilton Strategies,0.8938368774423776,12
Navigator,0.8108376623009114,2
Z to A Research,0.8101550349068668,2
Washington Post/George Mason University,0.8100617461213776,2
Emerson,0.796174715594311,7
ActiVote,0.6440328693722295,3
Quantus Insights,0.6121477397886127,1
Suffolk,0.4107877408790503,2
MRG (Marketing Resource Group),0.40962052194962323,1
Beacon/Shaw,0.3113986943386977,6
Cygnal,0.3100508084744447,1
SoCal Strategies,0.3098348212771869,1
Glengariff Group Inc.,0.13520111063353699,4
RMG Research,-0.1903015372262186,2
Quinnipiac,-0.35673126384369247,6
Florida Atlantic University/Mainstreet Research,-0.6874723729429758,2
Remington,-0.6905020517968955,1
Fabrizio/GBAO,-0.6906928844377195,2
OnMessage Public Strategies,-0.6907807595333063,1
TIPP,-0.8146450107039535,4
YouGov,-0.9742510931289199,7
Research Co.,-1.1891229426354488,2
Benenson Strategy Group/GS Strategy Group,-1.4400879546131475,4
Marist College,-2.189036369436626,4
Morning Consult,-2.1942047349331752,19
University of Massachusetts Lowell/YouGov,-3.189465896860772,2
Focaldata,-3.3922098590860625,10
Michigan State University/YouGov,-3.490486646075838,1
CNN/SSRS,-3.6888556248338773,2
Susquehanna,-3.7880274973442476,1
CES / YouGov,-4.688336925662027,2
RG Strategies,-4.690674687105219,1
Bullfinch,-5.439452339660094,4
