pollster,house_effect,n_polls
Global Strategy Group/North Star Opinion Research,3.302415799839037,2
AtlasIntel,3.238018516562526,12
Trafalgar Group,2.7706201713510263,3
Siena/NYT,2.4291656817494607,8
Fabrizio/McLaughlin,2.3023486546751983,1
InsiderAdvantage,2.07897409223809,4
The Washington Post,1.8050175423856325,2
Fabrizio/Impact,1.8022658165787793,2
Patriot Polling,1.455239703496472,2
OnMessage Inc.,1.305566416493262,1
Echelon Insights,1.305377880413536,2
co/efficient,1.3028408783858767,1
Mitchell,1.0659704208898604,8
Washington Post/George Mason University,0.8028986603789223,2
Emerson,0.7789658662149085,4
Quantus Insights,0.6050175423856295,1
Redfield & Wilton Strategies,0.4285812229600727,8
ActiVote,0.4040755077845257,2
Suffolk,0.403897643693494,2
MRG (Marketing Resource Group),0.4025254472747676,1
SoCal Strategies,0.30270325261491704,1
RMG Research,-0.19724096075582173,2
Quinnipiac,-0.36367511418134013,6
Florida Atlantic University/Mainstreet Research,-0.6941976391061356,2
Beacon/Shaw,-0.6949824576143676,4
Remington,-0.6971477775849318,1
OnMessage Public Strategies,-0.6976665993381576,1
Fabrizio/GBAO,-0.6977341834212211,2
Research Co.,-1.1959938827517662,2
YouGov,-1.2949786911282148,5
Glengariff Group Inc.,-1.4966998988778824,2
EPIC-MRA,-1.6949824576143675,1
Benenson Strategy Group/GS Strategy Group,-1.6974425734553211,2
Morning Consult,-1.828400978173092,12
Marist College,-2.1958340817840165,4
Focaldata,-2.385857581178881,7
University of Massachusetts Lowell/YouGov,-3.1963808225808874,2
Michigan State University/YouGov,-3.497563144241027,1
CNN/SSRS,-3.6949824576143677,1
Susquehanna,-3.795171651715335,1
CES / YouGov,-4.695509849738031,2
RG Strategies,-4.697324886468777,1
Bullfinch,-6.696848375888981,2
