pollster,house_effect,n_polls
RMG Research,4.016523663840977,1
Washington Post/George Mason University,3.289844809344675,2
Victory Insights,3.086750378158394,1
SoCal Strategies,2.796627152352288,2
TIPP,2.592551746126645,1
The Washington Post,2.3461427144931637,2
Trafalgar Group,2.2875784902765046,4
PPP,1.9002573348145242,1
Fabrizio/Impact,1.8635288627407094,2
East Carolina University,1.3822913999514137,3
Quantus Polls and News,1.2930312553806942,1
University of Massachusetts Lowell/YouGov,1.2718791329057326,1
Redfield & Wilton Strategies,1.1381230677175105,12
Florida Atlantic University/Mainstreet Research,1.011129326559107,2
Patriot Polling,0.980937048834584,2
Fabrizio/McLaughlin,0.869331353563848,1
Cygnal,0.6741549121162995,3
InsiderAdvantage,0.6542634021985336,4
Emerson,0.38134460007717685,7
Fabrizio/GBAO,0.3678342191268677,2
Global Strategy Group/North Star Opinion Research,0.34614271449316397,2
Marist College,0.17937172650747124,4
Navigator,0.16222733429234276,2
Beacon/Shaw,-0.0018803705137554888,10
Morning Consult,-0.2068893098936247,19
AtlasIntel,-0.20834828427877988,12
CES / YouGov,-0.2418725619909619,2
Meredith College,-0.47362866421026323,1
Focaldata,-0.5043813586750727,10
YouGov,-0.5755348178914483,6
ActiVote,-0.7297365866166738,3
YouGov Blue,-0.7520202388788907,1
CNN/SSRS,-0.7834847273424627,2
Spry Strategies,-0.8160093928872524,2
Bullfinch,-1.0989862861609894,1
High Point University,-1.153857285506836,2
SurveyUSA,-1.3670653589351482,5
Quinnipiac,-1.4202746020519665,6
Benenson Strategy Group/GS Strategy Group,-2.0187371470304716,4
Siena/NYT,-2.2880931063601953,12
