pollster,house_effect,n_polls
RMG Research,4.274694848929748,1
Victory Insights,3.9713880530401875,1
TIPP,3.4488185264627216,1
Washington Post/George Mason University,3.292076075724901,2
SoCal Strategies,2.9061862664036857,2
The Washington Post,2.634843460565164,2
Trafalgar Group,2.523288410801964,4
Quantus Polls and News,2.0629101396890652,1
Florida Atlantic University/Mainstreet Research,1.4370493183045443,2
East Carolina University,1.4095668364510696,3
Redfield & Wilton Strategies,1.3934550442735996,12
University of Massachusetts Lowell/YouGov,1.1961856552585466,1
Patriot Polling,1.0214360765374728,2
Fabrizio/McLaughlin,0.9629097315837111,1
Navigator,0.6469655162270025,2
Cygnal,0.5825019106681609,2
InsiderAdvantage,0.5792052027452959,3
Emerson,0.4178688472949921,6
Marist College,0.31925743366953,4
Meredith College,0.26371277428860007,1
Beacon/Shaw,0.02775494003742346,10
Morning Consult,-0.1506970439649813,18
YouGov Blue,-0.32143237357296084,1
CES / YouGov,-0.4132606427131772,2
AtlasIntel,-0.4209180279299628,12
Bullfinch,-0.6709441560155638,1
Spry Strategies,-0.6750037184733999,2
ActiVote,-0.7335500299828118,3
YouGov,-0.7651205695120809,6
CNN/SSRS,-0.839984043680639,2
High Point University,-0.865156539434836,2
Quinnipiac,-1.1643832259282378,6
SurveyUSA,-1.2529170358201343,5
Benenson Strategy Group/GS Strategy Group,-1.5326779977874987,4
Siena/NYT,-2.1662025512274665,12
Focaldata,-3.8517697655748107,3
