pollster,house_effect,n_polls
RMG Research,3.6744855909022562,1
Victory Insights,3.0771144457329322,1
Washington Post/George Mason University,3.051697210697256,2
SoCal Strategies,2.631507557289356,2
TIPP,2.4784610379040517,1
Trafalgar Group,2.150537501265786,4
PPP,2.1331357636645416,1
The Washington Post,2.117890358877726,2
Fabrizio/Impact,1.9368743419183234,2
Patriot Polling,1.522415522822001,2
University of Massachusetts Lowell/YouGov,1.387941296150321,1
East Carolina University,1.2046485426887352,3
Quantus Polls and News,1.1006407349815015,1
Redfield & Wilton Strategies,1.050378118827503,12
InsiderAdvantage,0.7636520290291422,4
Emerson,0.7208839967654646,7
Fabrizio/McLaughlin,0.59327123191118,1
Cygnal,0.5778944198501526,3
Florida Atlantic University/Mainstreet Research,0.564903852165306,2
AtlasIntel,0.326519740714474,12
Global Strategy Group/North Star Opinion Research,0.11789035887772559,2
Fabrizio/GBAO,0.09744683277174779,2
Marist College,0.03945083138284863,4
Navigator,-0.095633912161488,2
CES / YouGov,-0.1051758563535117,2
Beacon/Shaw,-0.1635629984347423,10
YouGov,-0.22981351381673343,6
Morning Consult,-0.2604714806317504,19
Focaldata,-0.3955517981868085,10
Meredith College,-0.4915537791475292,1
ActiVote,-0.6197170495599517,3
CNN/SSRS,-0.9226914388434342,2
YouGov Blue,-1.046457461327162,1
Spry Strategies,-1.2653122643454915,2
Bullfinch,-1.3629166424490897,1
High Point University,-1.3821096411222742,2
SurveyUSA,-1.584561035654247,5
Quinnipiac,-1.7441447518323097,6
Siena/NYT,-2.1173780384238055,12
Benenson Strategy Group/GS Strategy Group,-2.3100830523873648,4
