pollster,house_effect,n_polls
RMG Research,3.5903862063540046,1
Victory Insights,3.191142781226823,1
Washington Post/George Mason University,3.0873689756748943,2
SoCal Strategies,2.788584506758595,2
TIPP,2.59135308031785,1
Trafalgar Group,2.388620171019658,4
The Washington Post,2.089971933238438,2
Patriot Polling,1.6379433922117366,2
University of Massachusetts Lowell/YouGov,1.5858129143838615,1
Redfield & Wilton Strategies,1.3386410879232984,12
East Carolina University,1.255576636577015,3
Quantus Polls and News,1.1913840323520386,1
InsiderAdvantage,1.0202399501276376,3
Florida Atlantic University/Mainstreet Research,0.5914144644020233,2
Navigator,0.590199329093606,2
Fabrizio/McLaughlin,0.588379216049911,1
AtlasIntel,0.4277904757489241,12
Emerson,0.35525437581470964,6
Marist College,0.0884043013466459,4
CES / YouGov,0.0855431869254698,2
Cygnal,0.03939461623671286,2
YouGov,-0.08046105433764632,6
Beacon/Shaw,-0.11138824989987978,10
Morning Consult,-0.3979651643091013,18
Meredith College,-0.4090288628218872,1
YouGov Blue,-0.409746191390686,1
ActiVote,-0.5451054174597683,3
CNN/SSRS,-0.9120134743349892,2
Spry Strategies,-1.0092641859036104,2
Bullfinch,-1.409132350940529,1
High Point University,-1.4100280667615623,2
SurveyUSA,-1.4110621794477054,5
Quinnipiac,-1.7436628691119629,6
Benenson Strategy Group/GS Strategy Group,-1.9096198732293572,4
Siena/NYT,-1.9113241226059923,12
Focaldata,-2.415345912693557,3
