pollster,house_effect,n_polls
Susquehanna,5.411802156331517,1
Fabrizio/McLaughlin,4.86869921359206,1
OnMessage Public Strategies,4.339276946800374,1
Quantus Insights,3.976553733151455,1
OnMessage Inc.,3.631509801424527,1
Fabrizio/Impact,2.945927711551409,2
Benenson Strategy Group/GS Strategy Group,2.390694953239457,4
RMG Research,2.2759175414240973,1
InsiderAdvantage,2.1966307018676785,2
AtlasIntel,1.707084173000829,12
Redfield & Wilton Strategies,0.9815982877226457,12
Trafalgar Group,0.663544807210772,4
CNN/SSRS,0.4950477220876345,2
Emerson,0.48157526064555056,6
TIPP,0.15155373315145773,4
Washington Post/George Mason University,-0.05407228844859077,2
Public Opinion Strategies,-0.11552902365621306,1
Noble Predictive Insights,-0.19817618720901728,5
Patriot Polling,-0.26831083835118275,2
Tarrance,-0.8367751447838155,1
Siena/NYT,-1.2667940531131239,10
Beacon/Shaw,-1.4114139837698014,2
Morning Consult,-1.4421608494035216,18
YouGov,-1.588197843668482,4
Data for Progress,-2.360414949525498,1
Focaldata,-3.862552577728083,3
CES / YouGov,-6.158515406236068,2
Strategies 360,-7.100276714824522,1
