pollster,house_effect,n_polls
Fabrizio/GBAO,7.467442807416024,2
Susquehanna,5.369665141708067,1
Fabrizio/McLaughlin,4.9045873194889085,1
OnMessage Public Strategies,4.363051684641775,1
Quantus Insights,3.8127590633116357,1
OnMessage Inc.,3.710583057866619,1
InsiderAdvantage,3.588369113231288,4
Fabrizio/Impact,3.0039950502620005,2
Remington,2.746389657929068,1
Benenson Strategy Group/GS Strategy Group,2.338449264080935,4
RMG Research,2.301451248306073,1
Global Strategy Group/North Star Opinion Research,2.0341469833928403,2
AtlasIntel,1.683745095338855,12
Redfield & Wilton Strategies,0.9897707871220058,12
CNN/SSRS,0.640692340365813,2
Trafalgar Group,0.6139201888804688,4
Emerson,0.1677837504584483,5
Washington Post/George Mason University,0.003995050262000699,2
TIPP,-0.012240936688361626,4
Patriot Polling,-0.26354853172434023,2
Public Opinion Strategies,-0.268242994633132,1
Siena/NYT,-0.9121899172765133,8
Noble Predictive Insights,-0.9493135049717487,5
Beacon/Shaw,-1.0174747047130914,2
Morning Consult,-1.4053316597397323,18
Tarrance,-1.452262443722656,1
YouGov,-1.6303348582919328,4
Data for Progress,-2.384593800268062,1
Focaldata,-4.353359654050291,10
CES / YouGov,-6.112403203572493,2
Strategies 360,-6.257186665789035,1
