pollster,house_effect,n_polls
Fabrizio/GBAO,6.755322054203017,2
Susquehanna,6.389423355857644,1
Fabrizio/McLaughlin,4.226721484379158,1
OnMessage Inc.,3.7377706823653734,1
OnMessage Public Strategies,3.4013260493768898,1
InsiderAdvantage,3.3021938570193217,4
Quantus Insights,2.629406802243024,1
Fabrizio/Impact,2.5523685383767507,2
AtlasIntel,2.404654299754578,12
Remington,2.175217333459719,1
Benenson Strategy Group/GS Strategy Group,1.7126939143893156,4
RMG Research,1.376935983340892,1
Global Strategy Group/North Star Opinion Research,0.9629002593389969,2
Redfield & Wilton Strategies,0.8705258394478173,12
Emerson,0.7685699291382365,6
Patriot Polling,0.6235409569885231,2
Trafalgar Group,0.5760006170387556,4
CNN/SSRS,0.5402538562559295,2
Siena/NYT,-0.05348594844852082,10
Public Opinion Strategies,-0.32414646549349185,1
Washington Post/George Mason University,-0.4476314616232491,2
YouGov,-0.6105766441423564,4
Noble Predictive Insights,-0.8078959830480522,5
TIPP,-1.1955931977569734,4
Data for Progress,-1.5587612105463922,1
Beacon/Shaw,-1.616833061359452,2
Tarrance,-1.8955509801450827,1
Morning Consult,-1.9135013792418525,18
Focaldata,-4.086291730270404,10
CES / YouGov,-5.87215073026284,2
Strategies 360,-6.326057761340639,1
