pollster,house_effect,n_polls
Echelon Insights,5.635582524906743,2
Institute for Global Affairs/YouGov,5.269229952123403,1
co/efficient,3.3738736791145025,1
Z to A Research,2.997097931108828,2
SoCal Research,2.8032192466933843,1
Trafalgar Group,2.7566525793321395,5
Navigator,2.6885288853498075,2
Quantus Insights,2.5042071928389755,1
InsiderAdvantage,2.473772017619342,6
Remington,2.4284961125073576,1
American Pulse,2.318389860231601,2
Fabrizio/GBAO,2.198707819410936,2
Fabrizio/McLaughlin,2.1597898393065287,1
AtlasIntel,2.0788352923642934,12
Wick,1.9527976463045396,2
Hunt Research,1.843013823145609,2
OnMessage Inc.,1.7781132740435253,2
Fabrizio Ward,1.739276863996548,2
Patriot Polling,1.7066092976027902,3
PPP,1.6757752098197376,3
Emerson,1.5720407136144159,11
Global Strategy Group/North Star Opinion Research,1.4822077057529657,2
OnMessage Public Strategies,1.4769866777670102,1
RMG Research,1.4284961125073574,1
RG Strategies,1.406973784094951,1
J.L. Partners,1.1987078194109362,1
Cygnal,1.1462040050440199,2
Redfield & Wilton Strategies,0.9295785233003573,13
CNN/SSRS,0.7393418821735152,2
SoCal Strategies,0.7247643371318794,3
Quantus Polls and News,0.6430702960776638,1
North Star Opinion Research,0.6004475848762431,2
Civiqs,0.2285865786825846,1
Monmouth,0.2164299510687208,2
The Washington Post,0.11184147489661808,4
Spry Strategies,0.057736623750517385,2
Fabrizio,-0.06780445272740962,2
TIPP,-0.19021016069347288,4
Muhlenberg,-0.21208311851647885,2
University of Massachusetts Lowell/YouGov,-0.35731775960525636,3
Beacon/Shaw,-0.40378236646362553,10
YouGov/Center for Working Class Politics,-0.6230133222329842,1
Suffolk,-0.6568600914355,2
Research Co.,-0.7529512618945726,2
Marist College,-0.9370205782231599,4
Susquehanna,-0.9959214484297009,3
Fabrizio/Impact,-1.094827337494057,2
Focaldata,-1.1434672088633973,10
YouGov,-1.223033039788913,10
Morning Consult,-1.2770604641458614,19
ActiVote,-1.3784806314084392,3
Quinnipiac,-1.4144784425477144,8
Siena/NYT,-1.4768341295757659,22
Benenson Strategy Group/GS Strategy Group,-1.5079645600403442,4
Bullfinch,-1.7253681140956094,8
CES / YouGov,-1.7635146661342969,2
Washington Post/George Mason University,-1.8427037461642866,2
Franklin and Marshall College,-1.8573820100533212,5
Data for Progress,-1.9259811576659152,1
Florida Atlantic University/Mainstreet Research,-2.441290568265108,2
MassINC Polling Group,-3.0371024640880306,2
Public Opinion Strategies,-3.429272547990369,1
Survation,-3.809323319361281,1
GQR,-4.30227485125517,1
