pollster,house_effect,n_polls
Echelon Insights,5.646436541778265,2
Institute for Global Affairs/YouGov,5.255237802688221,1
co/efficient,3.3608110472172497,1
Z to A Research,2.989785599346483,2
SoCal Research,2.8035217765699287,1
Trafalgar Group,2.7507215543706725,5
Navigator,2.6887770032066434,2
Quantus Insights,2.4920046164088614,1
InsiderAdvantage,2.473285447257738,6
Remington,2.4159753967558357,1
American Pulse,2.3145581651347973,2
Fabrizio/GBAO,2.1888830232862166,2
Fabrizio/McLaughlin,2.152750964184645,1
AtlasIntel,2.0797245442536596,12
Wick,1.9394539356263323,2
Hunt Research,1.8332507066484656,2
OnMessage Inc.,1.7797915668340363,2
Fabrizio Ward,1.7249139265938647,2
Patriot Polling,1.7009717848819923,3
PPP,1.6906578401327248,3
Global Strategy Group/North Star Opinion Research,1.4708475426042393,2
OnMessage Public Strategies,1.4694171714521,1
RMG Research,1.415975396755836,1
RG Strategies,1.3934862665275216,1
Emerson,1.3831682360773776,10
J.L. Partners,1.1888830232862166,1
Cygnal,1.12917058389201,2
Redfield & Wilton Strategies,0.9217447263240227,13
CNN/SSRS,0.7296146652327702,2
SoCal Strategies,0.7206338380356132,3
Quantus Polls and News,0.6332304492857838,1
North Star Opinion Research,0.5933532378707256,2
Civiqs,0.24725976638461095,1
Monmouth,0.20663083068336502,2
The Washington Post,0.1170563434195852,4
Spry Strategies,0.042992195102621686,2
Fabrizio,-0.07271275072504547,2
TIPP,-0.1972490358153563,4
Muhlenberg,-0.21256483253612152,2
University of Massachusetts Lowell/YouGov,-0.36697162442624315,3
Beacon/Shaw,-0.41313875771933734,10
YouGov/Center for Working Class Politics,-0.6305828285478944,1
Suffolk,-0.6527575935534682,2
Research Co.,-0.7536154666718671,2
Marist College,-0.9352045803214545,4
Susquehanna,-1.0076507454022103,3
Fabrizio/Impact,-1.108277056144752,2
Focaldata,-1.1443307152965816,10
YouGov,-1.224709700784001,10
Morning Consult,-1.2588909672560444,19
ActiVote,-1.3833388917153384,3
Quinnipiac,-1.4204443843514132,8
Siena/NYT,-1.423637626663553,20
Benenson Strategy Group/GS Strategy Group,-1.5156971932944505,4
Bullfinch,-1.7350671510191693,8
CES / YouGov,-1.7713324298701885,2
Washington Post/George Mason University,-1.8544353982436457,2
Franklin and Marshall College,-1.8659019309630775,5
Data for Progress,-1.9112644089361668,1
Florida Atlantic University/Mainstreet Research,-2.430380762646246,2
MassINC Polling Group,-3.0476079151251385,2
Public Opinion Strategies,-3.4375815902526003,1
Survation,-3.8054555421094385,1
GQR,-4.3090528873069776,1
