pollster,house_effect,n_polls
Echelon Insights,5.8612574191532785,2
Institute for Global Affairs/YouGov,5.010412103307311,1
co/efficient,3.191076150277952,1
SoCal Research,3.0416273045679296,1
Trafalgar Group,2.8250357143875604,5
Z to A Research,2.665545331951282,2
PPP,2.6393898598174546,2
Quantus Insights,2.544748346897094,1
AtlasIntel,2.518523712008667,12
Navigator,2.4264904757868635,2
OnMessage Inc.,2.37285941950538,1
American Pulse,2.097370542270318,2
InsiderAdvantage,2.073346954194936,4
Fabrizio/McLaughlin,1.9256653116094327,1
Patriot Polling,1.9127564787867752,3
Wick,1.6713396115047394,2
Emerson,1.6322463668783402,11
Hunt Research,1.5899240287263383,2
Fabrizio Ward,1.4822242420998266,2
Monmouth,1.2550784245516264,1
RG Strategies,1.2489221659548162,1
OnMessage Public Strategies,1.166600997706493,1
J.L. Partners,0.9557035230979565,1
Redfield & Wilton Strategies,0.8508262082974135,13
North Star Opinion Research,0.7429647465677538,2
CNN/SSRS,0.713209018028183,2
Civiqs,0.7101384538033183,1
SoCal Strategies,0.6501137629538728,3
Quantus Polls and News,0.6448478289443996,1
Susquehanna,0.21857046945187822,1
The Washington Post,0.10208042798718717,4
Muhlenberg,-0.18282933219917533,2
Fabrizio,-0.19113331645564782,2
Spry Strategies,-0.1961173912838853,2
Research Co.,-0.3259703498735627,2
Beacon/Shaw,-0.3551755430022462,10
TIPP,-0.42433468839056887,4
University of Massachusetts Lowell/YouGov,-0.4690783032382412,3
Suffolk,-0.6618614033296981,2
Marist College,-0.9202604854065815,4
YouGov/Center for Working Class Politics,-0.9333990022935011,1
YouGov,-1.143749930364569,10
Fabrizio/Impact,-1.257143322482502,2
ActiVote,-1.2726166546765119,3
Morning Consult,-1.3220985371370784,19
Siena/NYT,-1.3387238746299057,22
Quinnipiac,-1.5538098972782723,8
Data for Progress,-1.6271405804946202,1
CES / YouGov,-1.6565139793731705,2
Bullfinch,-1.6665840316103848,4
Benenson Strategy Group/GS Strategy Group,-1.674628779486496,4
Florida Atlantic University/Mainstreet Research,-1.679232665889811,2
Washington Post/George Mason University,-1.878282413910639,2
Franklin and Marshall College,-1.9391716947259947,5
Survation,-2.31397204564553,1
Focaldata,-2.320715867152659,3
MassINC Polling Group,-3.2155849653709874,2
Public Opinion Strategies,-3.4641124549467475,1
GQR,-4.373098553524404,1
