pollster,house_effect,n_polls
Echelon Insights,6.229004657760031,2
Institute for Global Affairs/YouGov,4.737404001657215,1
SoCal Research,4.733451588805967,1
Trafalgar Group,2.8342136082097382,5
Quantus Insights,2.8309421519671445,1
co/efficient,2.7384632575256016,1
Navigator,2.735642446475739,2
AtlasIntel,2.722552317501953,12
Z to A Research,2.2379326203787007,2
American Pulse,1.934154726872911,2
Quantus Polls and News,1.9338058336076032,1
InsiderAdvantage,1.9337513529366672,5
Remington,1.7385362748462028,1
Patriot Polling,1.734794967729424,3
Fabrizio/GBAO,1.7347596412172976,2
Fabrizio/McLaughlin,1.7344565948997082,1
PPP,1.7341340411332438,1
OnMessage Inc.,1.7331137508623273,2
North Star Opinion Research,1.7314985575274187,2
Emerson,1.5648078424319207,10
Hunt Research,1.3350682310052406,2
Wick,1.2381077249093473,2
Fabrizio Ward,1.2372838031371194,2
Redfield & Wilton Strategies,0.9649421998996569,13
Cygnal,0.8365750018412064,2
RMG Research,0.7385362748462028,1
RG Strategies,0.7382394418325303,1
Global Strategy Group/North Star Opinion Research,0.7372885075277289,2
OnMessage Public Strategies,0.7365931137308215,1
J.L. Partners,0.7347596412172976,1
Fabrizio,0.7344623765234819,2
CNN/SSRS,0.7335845896617932,2
SoCal Strategies,0.5679956524402348,3
Monmouth,0.2336504481233847,2
The Washington Post,-0.016013926575296763,4
Beacon/Shaw,-0.06642478239332049,10
Muhlenberg,-0.2661782375573192,2
Research Co.,-0.2680817377365178,2
Spry Strategies,-0.41283652922025654,2
University of Massachusetts Lowell/YouGov,-0.5988861645377316,3
TIPP,-0.6155434051002933,4
Susquehanna,-0.6657935073745629,3
Suffolk,-0.7660540197380854,2
Marist College,-1.0160811725112955,4
YouGov,-1.017809982993722,10
CES / YouGov,-1.2702210533003566,2
Data for Progress,-1.2710610058030742,1
Florida Atlantic University/Mainstreet Research,-1.2712800456968925,2
Focaldata,-1.3247582231243333,10
YouGov/Center for Working Class Politics,-1.3634068862691728,1
ActiVote,-1.3986151572767445,3
Benenson Strategy Group/GS Strategy Group,-1.5136714122306014,4
Bullfinch,-1.5153180615252042,8
Morning Consult,-1.6003366090892093,18
Quinnipiac,-1.6401639749316803,8
Siena/NYT,-1.6405876666501897,16
Fabrizio/Impact,-1.7618629403039885,2
Washington Post/George Mason University,-1.7675604428100586,2
Franklin and Marshall College,-1.8664258316561493,5
Survation,-1.9711888842284921,1
Public Opinion Strategies,-2.266030072480569,1
GQR,-3.2658659588667565,1
MassINC Polling Group,-3.761261972162854,2
