pollster,house_effect,n_polls
Z to A Research,4.226549450304674,2
co/efficient,3.0859324864917617,1
OnMessage Public Strategies,2.7436136616308224,1
Navigator,2.742396865303569,2
Suffolk,2.6914502212596747,1
Arc Insights,2.5409450880525806,1
Fabrizio/McLaughlin,2.4534650397702236,1
Remington,2.433760765983515,1
Beacon/Shaw,2.1927187811504036,2
Quantus Polls and News,2.187415514015138,1
Quinnipiac,2.1754668021700967,6
OnMessage Inc.,2.098201110098046,2
PPP,2.0701940197613697,1
Emerson,2.0699393089086993,8
North Star Opinion Research,2.0175556102789236,1
Trafalgar Group,1.949811637610186,4
InsiderAdvantage,1.7733266147642475,5
Patriot Polling,1.7171121843866541,3
AtlasIntel,1.5303179017185435,12
Civiqs,1.3261950797747932,1
Quantus Insights,1.318733193251497,1
SoCal Strategies,1.1187331932514941,1
Echelon Insights,1.0613467284955191,2
RMG Research,0.9784138311254436,3
Fabrizio/GBAO,0.9733024148118371,2
Fabrizio/Impact,0.8416470820233263,2
TIPP,0.8264872183204325,8
BK Strategies,0.45607284637631496,1
Global Strategy Group/North Star Opinion Research,0.4063760041694028,2
Redfield & Wilton Strategies,0.39336576414133073,12
Spry Strategies,0.09712121566636955,2
Marist College,-0.14225066651974128,4
Public Opinion Strategies,-0.1814186790364679,1
Morning Consult,-0.2672700263083081,19
Florida Atlantic University/Mainstreet Research,-0.5563860900095929,2
Marquette Law School,-0.6991066591323073,16
Benenson Strategy Group/GS Strategy Group,-0.9140642351892062,4
Fabrizio Ward,-1.043927153623685,2
Siena/NYT,-1.4891331344862135,14
Research Co.,-1.68827970525505,2
ActiVote,-1.71024239960542,2
YouGov,-2.026852402056857,7
Washington Post/George Mason University,-2.2094149869730972,2
CES / YouGov,-2.7355631768269464,2
Focaldata,-3.055558547544462,10
Bullfinch,-3.6592439434892596,4
CNN/SSRS,-3.694310008644712,2
RG Strategies,-3.768293249156841,1
MassINC Polling Group,-3.920406573213634,2
