pollster,house_effect,n_polls
Z to A Research,4.262198369046273,2
co/efficient,2.9074717123143574,1
Suffolk,2.6765712434538305,1
Navigator,2.647937835832227,2
OnMessage Public Strategies,2.576310079712862,1
Arc Insights,2.375610923993771,1
Fabrizio/McLaughlin,2.310996284310901,1
Quantus Polls and News,2.157627663809589,1
OnMessage Inc.,2.127853970372035,2
Emerson,2.019412608503616,7
Quinnipiac,2.014963003080646,6
Beacon/Shaw,1.9633666543214665,2
Trafalgar Group,1.884869166456253,4
InsiderAdvantage,1.792258403085118,3
PPP,1.7323451758588,1
North Star Opinion Research,1.6697321897262718,1
Patriot Polling,1.6555438816259573,3
RMG Research,1.622991026157397,2
AtlasIntel,1.5305077811433079,12
Quantus Insights,1.393779649966742,1
SoCal Strategies,1.1937796499667392,1
Echelon Insights,1.1513270306866907,2
Civiqs,1.036556246927411,1
TIPP,0.8503929095067732,8
Fabrizio/Impact,0.5732694462347813,2
BK Strategies,0.46852423388223874,1
Redfield & Wilton Strategies,0.2933994650834311,12
Spry Strategies,0.10376461216371247,2
Marist College,-0.22555599401716675,4
Morning Consult,-0.41056197003162564,19
Public Opinion Strategies,-0.4310142134997822,1
Florida Atlantic University/Mainstreet Research,-0.49120738511533857,2
Marquette Law School,-0.8432158227333743,16
Fabrizio Ward,-1.0314757661177612,2
Benenson Strategy Group/GS Strategy Group,-1.1181966628341198,4
Siena/NYT,-1.6451346938900189,12
Research Co.,-1.7440808461651383,2
ActiVote,-1.7552298858050395,2
YouGov,-1.9960831790743265,7
Washington Post/George Mason University,-2.3036903508465465,2
CES / YouGov,-2.719706290307639,2
Focaldata,-2.914780775427495,3
CNN/SSRS,-3.6903692011334908,2
Bullfinch,-3.7246147105860827,4
RG Strategies,-3.9501817064629576,1
MassINC Polling Group,-4.163223315391582,2
