pollster,house_effect,n_polls
Z to A Research,3.0288356634873086,2
Suffolk,2.8039303434274396,1
OnMessage Public Strategies,2.643383688149667,1
Arc Insights,2.543452304249111,1
Fabrizio/McLaughlin,2.4930644461832783,1
OnMessage Inc.,2.4288546002575107,2
co/efficient,2.2984419487237213,1
InsiderAdvantage,2.230465651237292,3
PPP,2.142346426184557,1
North Star Opinion Research,2.1150919499570007,1
AtlasIntel,2.1093439692462326,12
Emerson,2.0636915239676763,8
Navigator,2.050524008692384,2
Trafalgar Group,2.0419102499786512,4
Quinnipiac,1.9946540533812422,6
Beacon/Shaw,1.98756649185569,2
Patriot Polling,1.914941677624221,3
Quantus Insights,1.6576991314133165,1
RMG Research,1.640703016036397,2
Echelon Insights,1.4640053871223753,2
SoCal Strategies,1.4576991314133136,1
Quantus Polls and News,1.3545720393769247,1
Civiqs,1.2784834834152135,1
TIPP,0.6321421468202749,8
Florida Atlantic University/Mainstreet Research,0.45701998615127887,2
Redfield & Wilton Strategies,0.1649511355649529,12
Fabrizio/Impact,0.12262464217737905,2
Marist College,-0.244948010371663,4
Public Opinion Strategies,-0.3991243172391011,1
Morning Consult,-0.519545262486271,19
BK Strategies,-0.589580413174155,1
Spry Strategies,-0.9154478919552086,2
Marquette Law School,-1.0049246157913916,16
Research Co.,-1.0085159616794621,2
Benenson Strategy Group/GS Strategy Group,-1.2176870838307432,4
Siena/NYT,-1.3519103334094524,14
ActiVote,-1.4093046044259856,2
Fabrizio Ward,-2.089580413174155,2
Washington Post/George Mason University,-2.0926298331788438,2
YouGov,-2.1337737136724133,7
Focaldata,-2.209028122053746,3
CES / YouGov,-2.579132936653678,2
Bullfinch,-3.9829969329890735,4
CNN/SSRS,-4.047349841470522,2
RG Strategies,-4.118521659984564,1
MassINC Polling Group,-4.48217704056865,2
