pollster,house_effect,n_polls
Suffolk,2.345089683199604,1
OnMessage Inc.,1.9450486696335871,2
RMG Research,1.9450168030563302,1
Quinnipiac,1.9449552146091427,4
Fabrizio/McLaughlin,1.9448558494841897,1
Arc Insights,1.9448043205534589,1
InsiderAdvantage,1.7116272624761952,3
Emerson,1.5116355302166364,3
AtlasIntel,1.375003608875187,10
Patriot Polling,1.2949695363539762,2
Morning Consult,1.2117239145259793,6
Quantus Insights,1.1450209016409443,1
SoCal Strategies,0.9450209016409414,1
Echelon Insights,0.9450113462982591,2
Trafalgar Group,0.44503644477939514,2
Fabrizio/GBAO,0.44482945455415335,2
Florida Atlantic University/Mainstreet Research,-0.05502188340543401,2
TIPP,-0.304988653701741,4
Redfield & Wilton Strategies,-0.45496751858608003,5
ActiVote,-0.8550133395474918,1
Marquette Law School,-1.0549196229133195,4
Marist College,-1.054988653701741,2
Bullfinch,-1.5549391023281163,2
Siena/NYT,-1.5550218834054341,4
Research Co.,-1.5551064567179833,2
Washington Post/George Mason University,-2.5550154951363258,2
Focaldata,-2.7216800062141613,3
YouGov,-2.8050016802340276,4
CES / YouGov,-3.0549305100212636,2
CNN/SSRS,-5.054965660476828,1
