pollster,house_effect,n_polls
Rasmussen,5.623524508980129,2
Harris Poll,5.515735012862586,6
SoCal Research,4.630851310802558,3
HarrisX/Harris Poll,4.273106107575934,25
McLaughlin,3.928157265648055,34
J.L. Partners,3.197727684845828,7
AtlasIntel,3.035833762722896,14
OnMessage Inc.,2.9791631300946513,3
Siena/NYT,2.0494063433730365,20
Pew,1.8864102683650137,4
Beacon/Shaw,1.8072250990943017,9
Quinnipiac,1.7975056852747076,6
Fabrizio/GBAO,1.7511630415955877,6
Quantus Insights,1.5283709809550055,2
Big Data Poll,1.4818390634017962,15
CNN/SSRS,1.296154023182204,5
Lord Ashcroft Polls,1.235579329498621,1
Manhattan Institute,1.1763665546197228,2
Hart/POS,1.0462927121624603,9
Kaiser Family Foundation,1.0460965430600193,1
Yale Youth Poll,1.034100457523939,1
ActiVote,0.9110086732328135,16
HarrisX,0.8741169864312239,47
Quantus Polls and News,0.8725391533692113,2
RMG Research,0.8493080885431286,15
SoCal Strategies,0.4831379802869615,4
Cygnal,0.42962214804555293,8
SurveyUSA,0.4009056101426472,3
TIPP,0.37904693758775987,36
co/efficient,0.3341004575239362,1
Florida Atlantic University/Mainstreet Research,0.3063816115821334,14
Change Research,0.29005218150826956,4
McCourtney Institute/YouGov,0.27316853462969376,1
Noble Predictive Insights,0.07145669118417464,9
Redfield & Wilton Strategies,0.06596287019910241,79
Suffolk,0.028745848307072816,3
Emerson,0.011996539817378464,9
Schoen Cooperman,-0.1624238002993425,1
SurveyMonkey,-0.2282663545282654,3
American Pulse,-0.27713067969240396,4
YouGov,-0.2931702905883605,61
YouGov/SNF Agora,-0.2967329683386543,1
Survey Center on American Life,-0.3264652740696789,1
Patriot Polling,-0.33766095553012004,2
Paradigm,-0.44563505099470996,1
Echelon Insights/GBAO,-0.6580694424047147,1
Tufts,-0.8160430733979145,2
Data for Progress,-0.8445964436378242,6
ABC News/Ipsos,-0.8674146796196001,20
UMass Amherst/YouGov,-0.8870708910049814,2
Monmouth,-0.9699256936556129,2
Echelon Insights,-1.0721510552605986,13
Ipsos,-1.1354084411817464,41
Marist College,-1.2039741066811964,12
Kaplan Strategies,-1.2196748723771758,3
Deltapoll,-1.2279672552768695,1
Research Co.,-1.4992383772908797,2
Leger,-1.5041715462062193,7
Institute for Global Affairs/YouGov,-1.5093185404447504,1
Navigator,-1.5464258935399797,2
Morning Consult,-1.565733615728982,146
Angus Reid,-1.6163050965379544,5
Big Village,-1.628649139111095,35
Embold Research,-1.7191003001197827,1
Marquette Law School,-2.1494058196369568,8
PPP,-2.4811161152913335,1
Clarity,-2.574913376022115,4
Fairleigh Dickinson,-2.6683198205954635,2
RABA Research,-2.6761493375851546,1
CES / YouGov,-2.691764732643368,2
Targoz Market Research,-2.743816534518125,2
ABC/Washington Post,-2.749032979846367,6
John Zogby Strategies,-2.9742999135597485,2
Outward Intelligence,-2.988637994397356,12
Civiqs,-3.296732968338654,1
Split Ticket/Data for Progress,-3.5125515245249894,1
Gateway Political Strategies,-3.8317759765704564,1
PRRI,-3.9539034569399805,1
Bullfinch,-4.27099969042507,2
Bendixen & Amandi International,-4.575870837879792,1
Susquehanna,-7.403383844602278,4
