pollster,house_effect,n_polls
Fabrizio/GBAO,4.238130791281245,2
Quinnipiac,3.794482204114178,2
AtlasIntel,3.398628294878743,12
OnMessage Inc.,3.0403082537362467,3
Beacon/Shaw,2.806140861760004,4
Siena/NYT,2.705348493370167,14
Pew,2.257623322880007,2
J.L. Partners,2.193178859545468,5
CNN/SSRS,2.0908211542687662,4
Change Research,2.0722444920927425,2
Kaplan Strategies,1.9224354461630888,1
Big Data Poll,1.7907752436686248,4
Quantus Insights,1.5390302611612343,2
Redfield & Wilton Strategies,1.5310436405019139,5
Emerson,1.368759049935574,4
ActiVote,1.351192213262185,8
Hart/POS,1.1016019496121814,7
Yale Youth Poll,1.0078383544177818,1
Suffolk,0.9528653421925626,2
HarrisX/Harris Poll,0.806504861906618,4
RMG Research,0.788769467884753,6
SoCal Strategies,0.6610565170776872,2
Marquette Law School,0.6350154698952367,4
HarrisX,0.6199326261045641,32
TIPP,0.6078385949638601,32
Noble Predictive Insights,0.5445577831045584,5
co/efficient,0.307838354417779,1
McCourtney Institute/YouGov,0.20727800605551355,1
UMass Amherst/YouGov,0.10810234680980683,1
Cygnal,-0.1796679557796445,4
Paradigm,-0.26186920871875546,1
Leger,-0.2783047080091306,4
YouGov,-0.28437553100126345,34
Florida Atlantic University/Mainstreet Research,-0.3136661703367712,4
Ipsos,-0.48250522060789647,25
Angus Reid,-0.5571707365114301,2
Tufts,-0.6128398955766459,2
American Pulse,-0.6743376900244205,2
ABC News/Ipsos,-0.7171945691112502,18
Data for Progress,-0.7468244720106697,3
Fairleigh Dickinson,-0.7480709855413297,1
Monmouth,-0.8481294083462448,2
Marist College,-0.8728649998678738,6
Patriot Polling,-1.0285944928768669,1
Deltapoll,-1.0294556775686585,1
Research Co.,-1.2354855849984314,2
Navigator,-1.5207140907319963,2
Echelon Insights,-1.8089003564210433,4
Morning Consult,-1.820244151407293,58
Big Village,-2.0420291588926367,15
Susquehanna,-2.2991535351984975,1
CES / YouGov,-2.4847814604044487,2
Targoz Market Research,-2.517585032652478,2
RABA Research,-2.634224756331376,1
John Zogby Strategies,-2.6785944928768726,2
Clarity,-2.7740653980397068,2
Outward Intelligence,-2.9739309368367692,4
Gateway Political Strategies,-3.891897653190193,1
