pollster,house_effect,n_polls
Rasmussen,5.496321734276949,2
Harris Poll,5.330939029493909,6
SoCal Research,4.8354980725705285,3
HarrisX/Harris Poll,4.145676581777974,25
McLaughlin,3.917932709997742,32
J.L. Partners,3.236276367902363,7
OnMessage Inc.,3.007435936166435,3
AtlasIntel,2.9368731523978644,12
Fabrizio/GBAO,2.536725149990824,4
Kaplan Strategies,2.1207010041320666,1
Siena/NYT,2.0431174223838715,20
Quinnipiac,1.9102493387199857,6
Pew,1.800035415544661,4
Beacon/Shaw,1.7994906206532175,9
Quantus Insights,1.5983142490662376,2
Big Data Poll,1.4070455434392826,15
Manhattan Institute,1.3924579117918046,2
CNN/SSRS,1.3372894907891741,5
Lord Ashcroft Polls,1.2917114357945014,1
Hart/POS,1.2504369373733004,9
RMG Research,1.2428738710843288,13
Yale Youth Poll,1.097593223209304,1
Kaiser Family Foundation,1.0065717423078782,1
HarrisX,0.9347930929390769,47
ActiVote,0.9211120424523036,16
Quantus Polls and News,0.7958330575648234,2
TIPP,0.5800197431560551,36
SoCal Strategies,0.5334426430279472,4
co/efficient,0.3975932232093011,1
Change Research,0.3894378308349875,4
Florida Atlantic University/Mainstreet Research,0.3356858479421264,14
SurveyUSA,0.3112473646416287,3
McCourtney Institute/YouGov,0.2570639644842043,1
Patriot Polling,0.22197415320651104,2
Emerson,0.06122568106101506,9
Noble Predictive Insights,0.017608151636610253,9
Suffolk,0.014004525046160746,3
Redfield & Wilton Strategies,-0.08015686691622524,79
Schoen Cooperman,-0.24074792057130057,1
YouGov,-0.27379048405994616,61
SurveyMonkey,-0.27755967717779473,3
American Pulse,-0.2786605252447452,4
Paradigm,-0.4126870861151639,1
Survey Center on American Life,-0.4190150572154765,1
Cygnal,-0.4544054494734897,2
YouGov/SNF Agora,-0.48607697263890737,1
Data for Progress,-0.6472669590578208,4
Echelon Insights/GBAO,-0.7499787214981304,1
ABC News/Ipsos,-0.7848431673924975,20
Tufts,-0.8475767157120956,2
Monmouth,-0.9341871452731327,2
Research Co.,-0.9644211190518107,2
UMass Amherst/YouGov,-0.9886554906556615,2
Marist College,-1.0729534104403338,12
Ipsos,-1.082433050311195,41
Echelon Insights,-1.1426582139904313,13
Deltapoll,-1.3113798868681885,1
Navigator,-1.5602334936030224,2
Institute for Global Affairs/YouGov,-1.5847672251147482,1
Big Village,-1.6272088355224936,35
Morning Consult,-1.630617137721934,140
Angus Reid,-1.6757216385763318,5
John Zogby Strategies,-1.803388233342156,2
Embold Research,-1.8312546230031244,1
Leger,-1.9279818797077233,5
Marquette Law School,-2.228268016205604,8
Targoz Market Research,-2.313070558076359,2
Clarity,-2.6274710018622827,4
RABA Research,-2.6429840725330287,1
Fairleigh Dickinson,-2.7146771432041117,2
PPP,-2.7541971430731094,1
ABC/Washington Post,-2.75528679584306,6
CES / YouGov,-2.814551065266258,2
Outward Intelligence,-2.939143293313652,12
Civiqs,-3.486076972638908,1
Split Ticket/Data for Progress,-3.5384169981746636,1
Gateway Political Strategies,-3.8601793336747043,1
PRRI,-3.9934282576921216,1
Bullfinch,-4.2903868702737915,2
Bendixen & Amandi International,-4.550662712904967,1
Susquehanna,-9.434421300583686,3
