pollster,house_effect,n_polls
J.L. Partners,4.20896738166716,2
Fabrizio/GBAO,3.8754543973854956,2
Beacon/Shaw,3.7739111239117618,2
AtlasIntel,3.162899268938365,10
OnMessage Inc.,2.725488862073299,3
ActiVote,2.583557869892685,4
Hart/POS,2.382179068341038,5
Kaplan Strategies,2.1591538004834865,1
Change Research,1.9690293874726064,1
SoCal Strategies,1.9591538004834836,1
Redfield & Wilton Strategies,1.908833241889471,2
Big Data Poll,1.6339673816671598,4
Quantus Insights,1.3954274568298743,2
Emerson,1.2275687870436696,3
Pew,1.1179271958677113,2
Siena/NYT,0.9256160194948724,6
CNN/SSRS,0.8294604313084528,2
Yale Youth Poll,0.707676359691439,1
HarrisX,0.7003903301012275,22
TIPP,0.6964647196794755,28
Suffolk,0.6153320302380996,2
HarrisX/Harris Poll,0.31880310134067064,4
Leger,0.28998146797532803,1
Marquette Law School,0.1861188272957332,4
co/efficient,0.007676359691436152,1
Patriot Polling,-0.11001853202467055,1
RMG Research,-0.19711751877182043,2
Florida Atlantic University/Mainstreet Research,-0.2586146027362555,2
UMass Amherst/YouGov,-0.33035386483937407,1
Ipsos,-0.5192581545101183,20
ABC News/Ipsos,-0.5230485172769275,12
American Pulse,-0.6226399802491833,2
Paradigm,-0.6245456026145042,1
Angus Reid,-0.7586146027362555,1
Cygnal,-0.7741708721186051,2
Echelon Insights,-0.8408461995165133,2
YouGov,-0.8473464285307257,19
Tufts,-1.170539568691547,2
Fairleigh Dickinson,-1.2260888760882385,1
Research Co.,-1.3460456680784811,2
Marist College,-1.4369514602229838,4
Monmouth,-1.5702607120887726,1
Deltapoll,-1.6769180262879233,1
Noble Predictive Insights,-1.7586146027362555,1
John Zogby Strategies,-1.7600185320246764,2
Navigator,-1.7724846889366626,2
Morning Consult,-2.2662290579052793,26
Targoz Market Research,-2.316334519209411,2
Clarity,-2.670539568691547,1
RABA Research,-2.791032618332841,1
CES / YouGov,-3.193885129690458,2
Gateway Political Strategies,-4.330353864839374,1
Big Village,-4.50387290202488,3
