question_id,poll_id,pollster,end_date,sample_size,poll_margin,corrected_margin,true_margin,filtered,filtered_se,smoothed,smoothed_se,house_effect_assigned,total_error,sampling_noise,residual_systematic_bias,weight,period
199547,86993,Morning Consult,2024-05-12,812.0,7.0,8.26376844914819,1.7097309916712655,8.26376844914819,3.381524095722625,2.473549787868153,1.5811236509791324,-1.2637684491481902,5.2902690083287345,5.790218661280036,0.7638187961968876,0.0,before_dropout
202982,87403,Siena/NYT,2024-07-11,872.0,2.0,3.25226460616435,1.7097309916712655,5.436662470313888,2.4654731216234493,1.2021075184632624,0.8100365716228164,-1.2522646061643499,0.2902690083287345,2.0501570877010877,-0.5076234732080032,0.5641232786426535,before_dropout
202983,87403,Siena/NYT,2024-07-11,872.0,1.0,2.25226460616435,1.7097309916712655,4.29615734289219,1.9752208462456013,1.2021075184632624,0.8100365716228164,-1.2522646061643499,-0.7097309916712655,1.0501570877010877,-0.5076234732080032,0.35815409257168773,before_dropout
202986,87403,Siena/NYT,2024-07-11,872.0,2.0,3.25226460616435,1.7097309916712655,3.9899492826826526,1.660439681308063,1.2021075184632624,0.8100365716228164,-1.2522646061643499,0.2902690083287345,2.0501570877010877,-0.5076234732080032,0.29333287744617276,before_dropout
202987,87403,Siena/NYT,2024-07-11,872.0,1.0,2.25226460616435,1.7097309916712655,3.6067881687682375,1.4659896360874003,1.2021075184632624,0.8100365716228163,-1.2522646061643499,-0.7097309916712655,1.0501570877010877,-0.5076234732080032,0.22050094536261478,before_dropout
203641,87514,PPP,2024-07-12,537.0,6.0,2.996871923920585,1.7097309916712655,3.5399760860945806,1.3967704720894927,1.1552832488238964,0.7995615959809718,3.003128076079415,4.2902690083287345,1.8415886750966886,-0.5544477428473691,0.10954304502964171,before_dropout
203589,87492,Civiqs,2024-07-16,536.0,2.0,0.945708160871779,1.7097309916712655,3.2492338215007623,1.3714784876392094,0.950677538105348,0.7562762023200165,1.054291839128221,0.2902690083287345,-0.00496937723356905,-0.7590534535659175,0.11207102464902438,before_dropout
203573,87485,PPP,2024-07-18,624.0,2.0,-1.003128076079415,1.7097309916712655,2.729060575245564,1.3131345017251062,0.8483994639674826,0.7325065592936334,3.003128076079415,0.2902690083287345,-1.8515275400468976,-0.861331527703783,0.12232572362930941,before_dropout
203665,87518,SoCal Research,2024-07-21,500.0,4.0,0.7065024525330239,1.7097309916712655,2.551047151779424,1.298865768381754,0.7114725634034254,0.6948797011653971,3.293497547466976,2.2902690083287345,-0.004970110870401445,-0.9982584282678402,0.08801399646671139,after_dropout
204126,87540,North Star Opinion Research,2024-07-23,600.0,2.0,1.1379734580942364,1.7097309916712655,2.4046976600107177,1.2599028538249022,0.6202096647733364,0.6664141711315661,0.8620265419057636,0.2902690083287345,0.5177637933209001,-1.0895213268979291,0.10356819493754671,after_dropout
204152,87546,Emerson,2024-07-23,850.0,2.200000000000003,0.8403697113206299,1.7097309916712655,2.218643723991398,1.1826083502530007,0.6202096647733364,0.666414171131566,1.359630288679373,0.4902690083287373,0.2201600465472935,-1.0895213268979291,0.11893537808048152,after_dropout
204157,87546,Emerson,2024-07-23,850.0,1.8000000000000043,0.4403697113206313,1.7097309916712655,2.0119090529987376,1.1117425530420648,0.6202096647733364,0.666414171131566,1.359630288679373,0.09026900832873874,-0.1798399534527051,-1.0895213268979291,0.11625580170413015,after_dropout
204508,87583,Beacon/Shaw,2024-07-24,1034.0,0.0,0.32294367283831416,1.7097309916712655,1.8112509899942915,1.06113515417108,0.573088894451913,0.6568299555777096,-0.32294367283831416,-1.7097309916712655,-0.25014522161359887,-1.1366420972193525,0.11880531440223295,after_dropout
204507,87583,Beacon/Shaw,2024-07-24,1034.0,-2.0,-1.6770563271616858,1.7097309916712655,1.4034910013446034,0.9971885329327076,0.573088894451913,0.6568299555777096,-0.32294367283831416,-3.7097309916712655,-2.250145221613599,-1.1366420972193525,0.11689336734876196,after_dropout
204358,87563,Redfield & Wilton Strategies,2024-07-24,851.0,4.0,3.156304375558455,1.7097309916712655,1.557513267401108,0.9523691056964496,0.573088894451913,0.6568299555777097,0.843695624441545,2.2902690083287345,2.583215481106542,-1.1366420972193525,0.08787145757921015,after_dropout
204799,87626,Morning Consult,2024-07-28,804.0,2.0,3.2637684491481904,1.7097309916712655,1.7069980035156966,0.9900864841420085,0.39140888034305865,0.6380266169548998,-1.2637684491481902,0.2902690083287345,2.8723595688051318,-1.3183221113282069,0.08760983568795794,after_dropout
204806,87626,Morning Consult,2024-07-28,804.0,4.0,5.26376844914819,1.7097309916712655,1.9772630360939998,0.9517269985654618,0.39140888034305865,0.6380266169548998,-1.2637684491481902,2.2902690083287345,4.872359568805132,-1.3183221113282069,0.07598607689460891,after_dropout
204875,87638,Quantus Polls and News,2024-07-28,500.0,1.2000000000000028,0.38643732894502736,1.7097309916712655,1.904129405794016,0.9295931670349447,0.39140888034305865,0.6380266169548998,0.8135626710549755,-0.5097309916712627,-0.004971551398031293,-1.3183221113282069,0.045972119994874674,after_dropout
204996,87647,Public Opinion Strategies,2024-07-29,400.0,-3.0,0.3131802989534922,1.7097309916712655,1.8444038412855457,0.9337986085074995,0.31815202745378834,0.6352836364287765,-3.313180298953492,-4.7097309916712655,-0.0049717285002961464,-1.3915789642174772,0.037540839145432894,after_dropout
205212,87668,GQR,2024-07-30,500.0,-4.0,0.23993219336717875,1.7097309916712655,1.7713920130441272,0.9339400261085304,0.24490413193090976,0.6319779670424243,-4.239932193367179,-5.7097309916712655,-0.004971938563731015,-1.4648268597403558,0.04550521558679062,after_dropout
205210,87667,Fabrizio,2024-08-01,600.0,0.0,0.09345761692852858,1.7097309916712655,1.6767936141738164,0.949761139176831,0.09843005061163534,0.6228919822074563,-0.09345761692852858,-1.7097309916712655,-0.004972433683106764,-1.6113009410596302,0.05637788884315449,after_dropout
205211,87667,Fabrizio,2024-08-01,600.0,0.0,0.09345761692852858,1.7097309916712655,1.5869786159168755,0.9224302137716222,0.09843005061163534,0.6228919822074563,-0.09345761692852858,-1.7097309916712655,-0.004972433683106764,-1.6113009410596302,0.05672516661858404,after_dropout
205828,87768,Benenson Strategy Group/GS Strategy Group,2024-08-02,411.0,-1.0,0.6625991461624403,1.7097309916712655,1.5532842697212486,0.9274616053641356,0.02521988782237461,0.6190246879653317,-1.6625991461624403,-2.7097309916712655,0.6373792583400657,-1.684511103848891,0.036450772975927276,after_dropout
