question_id,poll_id,pollster,end_date,sample_size,poll_margin,true_margin,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight,period
142439,74819,McLaughlin,2021-05-18,1000.0,4.0,1.4723355621959089,4.0,3.1243399844443016,2.3092361675207487,2.475456682783274,2.5276644378040913,1.6907638324792513,0.8369006053248398,0.0,before_dropout
142946,74998,McLaughlin,2021-06-20,1000.0,4.0,1.4723355621959089,4.0,2.5685742938616825,0.15150338117715068,1.8420467598531043,2.5276644378040913,3.8484966188228493,-1.3208321810187582,0.7030662727074851,before_dropout
142927,74995,Echelon Insights,2021-06-22,1001.0,-7.0,1.4723355621959089,-1.0564965987318553,1.993171342897035,-0.28890359183066316,1.8365092146930428,-8.472335562195909,-6.711096408169337,-1.7612391540265722,0.4596815089756232,before_dropout
144007,75491,McLaughlin,2021-08-03,1000.0,3.0,1.4723355621959089,1.6868398485921667,2.5334944972869535,2.77452933729899,2.209702896408362,1.5276644378040911,0.22547066270101013,1.302193775103081,0.6762822007989963,before_dropout
145354,76285,McLaughlin,2021-09-14,1000.0,2.0,1.4723355621959089,1.9057068804180215,2.5897154430585676,5.461306428090266,1.9440423607165305,0.5276644378040911,-3.461306428090266,3.9889708658943572,0.6988980904560268,before_dropout
145617,76441,Rasmussen,2021-09-22,1000.0,13.0,1.4723355621959089,7.6894038356991485,2.1577592714307845,7.062397667993506,1.8892773137835854,11.527664437804091,5.937602332006494,5.590062105797597,0.5213218086939324,before_dropout
146596,76905,McLaughlin,2021-10-18,1000.0,3.0,1.4723355621959089,4.857409841909279,2.394105770949058,5.740625741778695,1.9936656347302764,1.5276644378040911,-2.740625741778695,4.268290179582786,0.6039134382564099,before_dropout
150177,77744,Redfield & Wilton Strategies,2021-11-15,1500.0,9.0,1.4723355621959089,8.035697941064235,1.947994392341642,7.369380090717142,1.4453526838776098,7.527664437804091,1.6306199092828582,5.897044528521233,0.7672224327930613,before_dropout
150354,77791,McLaughlin,2021-11-16,1000.0,8.0,1.4723355621959089,8.024506456068183,1.6923894904616763,7.303093850164876,1.4526893266823862,6.527664437804091,0.6969061498351241,5.830758287968967,0.31350505554127983,before_dropout
150942,77982,Harris Poll,2021-12-02,1989.0,9.0,1.4723355621959089,8.670850573476253,1.7333309925431808,5.781774408694634,1.2720930761086042,7.527664437804091,3.218225591305366,4.309438846498725,0.6625816453924646,before_dropout
150959,78037,Redfield & Wilton Strategies,2021-12-05,1148.0,4.0,1.4723355621959089,6.928726404439647,1.6105747500839167,4.692757591387685,1.2282962829747595,2.5276644378040913,-0.6927575913876849,3.2204220291917762,0.3729779280307911,before_dropout
150957,78037,Redfield & Wilton Strategies,2021-12-05,1500.0,1.0,1.4723355621959089,4.829691545071907,1.2944404611592235,4.692757591387685,1.2282962829747595,-0.4723355621959089,-3.692757591387685,3.2204220291917762,0.35404481775308555,before_dropout
151776,78272,Redfield & Wilton Strategies,2022-01-09,1500.0,2.0,1.4723355621959089,2.7181984170855493,1.9438920162744604,3.6129848035072154,1.3092847345525411,0.5276644378040911,-1.6129848035072154,2.1406492413113067,0.7461919768830144,before_dropout
151778,78272,Redfield & Wilton Strategies,2022-01-09,1261.0,0.0,1.4723355621959089,1.719189657624892,1.54594291547862,3.6129848035072154,1.3092847345525411,-1.4723355621959089,-3.6129848035072154,2.1406492413113067,0.36752606181405767,before_dropout
151940,78297,McLaughlin,2022-01-18,1000.0,11.0,1.4723355621959089,5.356636961222977,1.8759419362761809,6.305176292637978,1.3509294712896196,9.527664437804091,4.694823707362022,4.8328407304420695,0.39193208021824555,before_dropout
