state_name,n,sum_w,sum_wx,p_hat,num_for_var,var_delta,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,color
Alabama,593,570.49,221.89,0.38894634437062875,131.67151502533238,0.0004045719421382906,0.020113973802764352,0.3495229557172106,0.4283697330240469,0.6457209205815222,0.3410072005968858,2265090,red
Alaska,90,87.7,41.98,0.4786773090079817,21.35547064526237,0.0027765785252229945,0.05269324933255677,0.3753985403161705,0.581956077699793,0.5454480937497228,0.4140612756041954,338177,red
Arizona,1119,1087.25,521.46,0.47961370429983907,265.22861634384594,0.00022436832562114484,0.014978929388348983,0.4502550026986751,0.5089724059010031,0.5223002024890546,0.4670141701031977,3389319,purple
Arkansas,324,313.05,141.5,0.45200447212905287,75.39808716906768,0.0007693658615907607,0.027737445116498397,0.397639079700716,0.5063698645573897,0.6419687217800987,0.3355990989924544,1182676,red
California,3365,3253.69,2081.64,0.6397782210351939,729.328567152009,6.889233103406281e-05,0.008300140422550862,0.6235099458069941,0.6560464962633936,0.383329021034668,0.58467704244594,15865475,blue
Colorado,770,747.8199999999999,455.9,0.6096386831055601,173.45151006100028,0.00031015867543392016,0.017611322364715267,0.5751204912707182,0.6441568749404021,0.4314284416700989,0.5412768636392822,3192745,blue
Connecticut,419,399.49,249.66,0.6249468071791534,90.14366948542862,0.0005648373513160655,0.023766307060964807,0.5783648453396624,0.6715287690186444,0.4189390623134604,0.5639837181141665,1759010,blue
Delaware,156,148.07999999999998,89.82,0.6065640194489466,33.7864731960997,0.001540813407295888,0.03925319614115375,0.5296277550122852,0.6835002838856079,0.4179090800974044,0.5649262155570243,512913,blue
District Of Columbia,108,104.88,97.4,0.9286803966437834,6.5749573089524125,0.0005977334771168878,0.02444858844835194,0.8807611632850136,0.9765996300025532,0.0646762963031156,0.9027707452994916,325869,blue
Florida,3161,3062.31,1559.72,0.5093279256508976,745.4267313015025,7.948893120406666e-05,0.008915656521202837,0.49185323886934,0.5268026124324552,0.5608834311631108,0.4298829273881028,10893752,red
Georgia,1393,1345.37,738.24,0.5487263726707152,323.84141802780294,0.00017891589035449914,0.013375944465887227,0.5225095215175762,0.5749432238238542,0.5071729539955493,0.4852529230675474,5250905,purple
Hawaii,141,135.44,88.38,0.65253987005316,29.740055855021666,0.0016212421626129257,0.04026465152727546,0.5736211530597002,0.7314585870466199,0.3748028356825321,0.6058513531036325,516701,blue
Idaho,232,224.17,87.06,0.38836597225320074,51.9842683281277,0.001034467740929146,0.032163142584784,0.3253262127870241,0.45140573171937737,0.6687379910878541,0.3038173286323403,905057,red
Illinois,1648,1585.22,957.98,0.604319905123579,367.1991389261701,0.00014612434186338263,0.01208819018146979,0.5806270523678982,0.6280127578792598,0.4347495522170801,0.543705743159883,5633310,blue
Indiana,935,898.97,439.07,0.48841451883822595,218.09763737432493,0.0002698736998825914,0.01642783308542522,0.4562159659907925,0.5206130716856594,0.5858141702339072,0.3962311823874399,2936677,red
Iowa,483,464.49,260.67,0.5611961506168055,110.80714833192197,0.0005135882050330768,0.022662484529130448,0.5167776809397098,0.6056146202939012,0.5572682034209675,0.425173098263547,1663506,red
Kansas,366,350.87,200.42,0.5712087097785504,82.98599792034841,0.0006740814051623588,0.025963077729005066,0.5203210774297005,0.6220963421274004,0.5715630792917397,0.4104072715166041,1327591,red
Kentucky,614,588.23,281.88,0.4792003128028152,142.07537036895596,0.0004106052112268257,0.02026339584637347,0.43948405694392323,0.5189165686617072,0.6447214549801642,0.3393747017396711,2074530,red
Louisiana,455,437.09,199.35,0.45608455924409164,105.17719135019371,0.0005505285272319622,0.02346334433178617,0.41009640435379074,0.5020727141343926,0.6021524931800346,0.3821024178178602,2006975,red
Maine,236,229.17,116.91,0.510145306977353,56.016992680326105,0.0010666065839090154,0.032658943398539635,0.4461337779162154,0.5741568360384908,0.4546408058938505,0.52401383250639,831375,blue
Maryland,755,723.85,481.45,0.6651239897768875,155.71185200844192,0.00029718337648268516,0.01723900741001886,0.6313355352532505,0.6989124443005245,0.3408282302077388,0.6261908664419382,3038334,blue
Massachusetts,852,827.73,543.97,0.6571828978048397,181.61438059486468,0.0002650774853496662,0.016281200365749024,0.6252717450879717,0.6890940505217078,0.3602252719603601,0.6121822810930694,3473668,blue
Michigan,1498,1446.86,845.43,0.584320528592953,341.35678830105655,0.0001630630357041005,0.012769613764875605,0.5592920856137968,0.6093489715721092,0.4972710995013228,0.4831290850971348,5664186,purple
Minnesota,811,786.05,467.82,0.595152980090325,184.6091836926207,0.0002987809871868309,0.0172852823866673,0.5612738266124571,0.629032133568193,0.4668313910606284,0.5092254880267493,3253920,blue
Mississippi,290,281.18,120.34,0.42798207553880074,66.98336705529354,0.0008472237490759685,0.02910710822249384,0.3709321434227128,0.4850320076548887,0.6089080852893467,0.3800203256004847,1228008,red
Missouri,1017,977.25,480.02,0.491194678946022,236.64466026223167,0.00024779089888436653,0.015741375380962316,0.4603415831993358,0.5220477746927081,0.5849064225708912,0.4008240168769553,2995327,red
Montana,190,183.47,80.28999999999999,0.43761922930179314,44.09057302307355,0.001309832075236227,0.036191602275061366,0.3666836888426729,0.5085547697609134,0.583914767572803,0.3846106643359542,602963,red
Nebraska,263,255.42,129.07999999999998,0.5053637146660402,62.271514084434436,0.0009545081133613418,0.030895114716753228,0.44480928982120393,0.5659181395108765,0.5931807154514578,0.3885759235104213,952182,red
Nevada,533,513.66,306.3,0.5963088424249504,119.90854128025292,0.00045446309817860295,0.021318140120062137,0.5545252877896286,0.6380923970602722,0.5126926765014008,0.4812925065604706,1465215,purple
New Hampshire,238,228.7,140.32999999999998,0.6135986007870572,52.70613151250513,0.0010076943235267938,0.031744201415798666,0.5513799660120918,0.6758172355620226,0.478731864016587,0.5065281672837572,826189,blue
New Jersey,1181,1137.48,625.67,0.5500492316348419,272.63059309182825,0.00021071092310941797,0.014515885198961102,0.5215980966448781,0.5785003666248056,0.4606463088544196,0.5197416168838388,4272725,blue
New Mexico,291,281.48,157.52,0.5596134716498508,67.27906869776147,0.0008491509238758862,0.02914019430058568,0.5024986908207029,0.6167282524789987,0.4585116141056505,0.5185189998299767,923403,blue
New York,2388,2291.55,1419.1299999999999,0.6192882546747833,522.1004412970765,9.942495084049033e-05,0.00997120608755482,0.5997446907431758,0.6388318186063908,0.4331444097499576,0.5590486045554668,8262600,blue
North Carolina,1369,1318.92,702.42,0.5325721044490946,318.635703749197,0.00018317134310813374,0.013534080800266184,0.506045306080573,0.5590989028176163,0.5085719058363357,0.4764533813078146,5699141,purple
North Dakota,86,81.78,43.66,0.5338713621912448,19.521472377961594,0.002918894230714606,0.054026791786248106,0.42797885029019844,0.6397638740922911,0.669568524127066,0.3051079029213239,368155,red
Ohio,1858,1801.86,995.89,0.5527010977545426,434.3567546992978,0.000133784096774024,0.011566507544372415,0.5300307429675727,0.5753714525415125,0.5513579902728741,0.4392843495634722,5767788,red
Oklahoma,466,448.4,194.35999999999999,0.4334522747546833,106.53441928455302,0.0005298570717718557,0.023018624454381624,0.3883357708240953,0.47856877868527126,0.6616210342024795,0.3189934956099997,1566173,red
Oregon,800,777.61,506.54,0.6514062319157419,172.31443589167503,0.00028496924300539677,0.01688103204799389,0.6183194091016738,0.6844930547298099,0.4096604444745428,0.5527306166693324,2244493,blue
Pennsylvania,2352,2278.9,1185.76,0.520321207600158,553.9206513688601,0.00010665888028145329,0.010327578626253749,0.5000791534927006,0.5405632617076154,0.5037253671558666,0.4866280572391539,7034206,purple
Rhode Island,159,152.5,97.78,0.6411803278688525,33.801050196897606,0.001453417906880843,0.03812371842935632,0.5664578397473141,0.7159028159903909,0.4178753659230616,0.5557664796934627,513086,blue
South Carolina,675,651.45,283.96999999999997,0.43590452068462654,155.53030252948082,0.000366482161246832,0.019143723808257157,0.3983828220204425,0.4734262193488106,0.5822862951015251,0.4036089068889464,2548140,red
