state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s
Alabama,427,0.5644028103044496,0.02399513407077947,0.5173723475257218,0.6114332730831774,0.6457209205815222,0.3410072005968858,2265090,-0.08131811027707259,0.08131811027707259,0.00018851348070054612
Alaska,73,0.4246575342465753,0.05785237623779012,0.3112668768205067,0.538048191672644,0.5454480937497228,0.4140612756041954,338177,-0.12079055950314749,0.12079055950314749,0.00021586329052537576
Arizona,861,0.5005807200929152,0.017039942921804833,0.46718243196617776,0.5339790082196527,0.5223002024890546,0.4670141701031977,3389319,-0.02171948239613941,0.02171948239613941,0.0002540333323596864
Arkansas,239,0.49372384937238495,0.0323397633356824,0.4303379132344475,0.5571097855103224,0.6419687217800987,0.3355990989924544,1182676,-0.14824487240771372,0.14824487240771372,0.00020208408727326842
California,2503,0.3148222133439872,0.009283332301567498,0.2966268820329149,0.3330175446550595,0.383329021034668,0.58467704244594,15865475,-0.0685068076906808,0.0685068076906808,0.00015776394970840773
Colorado,611,0.36006546644844517,0.019419493737499953,0.3220032587229453,0.39812767417394507,0.4314284416700989,0.5412768636392822,3192745,-0.07136297522165375,0.07136297522165375,0.00019137137478877895
Connecticut,301,0.3289036544850498,0.02707968066322095,0.27582748038513677,0.3819798285849629,0.4189390623134604,0.5639837181141665,1759010,-0.09003540782841057,0.09003540782841057,0.00017111898169993347
Delaware,116,0.33620689655172414,0.043862227413170383,0.2502369308219102,0.4221768622815381,0.4179090800974044,0.5649262155570243,512913,-0.08170218354568026,0.08170218354568026,0.00022615921218608224
District Of Columbia,72,0.06944444444444445,0.029958747929501817,0.01072529850262089,0.128163590386268,0.0646762963031156,0.9027707452994916,325869,0.004768148141328851,0.004768148141328851,0.000220947681430268
Florida,2435,0.47433264887063653,0.010119231433225523,0.4544989552615145,0.49416634247975855,0.5608834311631108,0.4298829273881028,10893752,-0.08655078229247426,0.08655078229247426,0.00022352262104002367
Georgia,1011,0.42433234421364985,0.015544022099014058,0.3938660608995823,0.4547986275277174,0.5071729539955493,0.4852529230675474,5250905,-0.08284060978189944,0.08284060978189944,0.00019253823864648093
