state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Alabama,593,0.3912310286677909,0.020040823045041158,0.35195101549951024,0.4305110418360716,0.6457209205815222,0.3410072005968858,2265090
Alaska,90,0.4777777777777778,0.05265254798514357,0.3745787837268964,0.5809767718286591,0.5454480937497228,0.4140612756041954,338177
Arizona,1119,0.47899910634495085,0.014933841664767813,0.44972877668200595,0.5082694360078958,0.5223002024890546,0.4670141701031977,3389319
Arkansas,324,0.4506172839506173,0.027641965063630505,0.3964390324259015,0.5047955354753331,0.6419687217800987,0.3355990989924544,1182676
California,3365,0.638335809806835,0.00828294590022527,0.6221012358423935,0.6545703837712765,0.383329021034668,0.58467704244594,15865475
Colorado,770,0.6090909090909091,0.017584644037168362,0.5746250067780592,0.6435568114037591,0.4314284416700989,0.5412768636392822,3192745
Connecticut,419,0.6229116945107399,0.023677059345833182,0.5765046581929069,0.669318730828573,0.4189390623134604,0.5639837181141665,1759010
Delaware,156,0.6025641025641025,0.03918076163717802,0.5257698097552336,0.6793583953729715,0.4179090800974044,0.5649262155570243,512913
District Of Columbia,108,0.9259259259259259,0.02520051175702858,0.8765329228821499,0.975318928969702,0.0646762963031156,0.9027707452994916,325869
Florida,3161,0.5074343562163872,0.008892210695652884,0.4900056232529076,0.5248630891798669,0.5608834311631108,0.4298829273881028,10893752
Georgia,1393,0.548456568557071,0.013333535678869806,0.5223228386264862,0.5745902984876559,0.5071729539955493,0.4852529230675474,5250905
Hawaii,141,0.6524822695035462,0.04010174625997764,0.57388284683399,0.7310816921731023,0.3748028356825321,0.6058513531036325,516701
Idaho,232,0.38362068965517243,0.03192501020195759,0.32104766965933557,0.4461937096510093,0.6687379910878541,0.3038173286323403,905057
Illinois,1648,0.6013349514563107,0.012061010650883299,0.5776953705805794,0.6249745323320419,0.4347495522170801,0.543705743159883,5633310
Indiana,935,0.48663101604278075,0.01634590237187138,0.4545930473939128,0.5186689846916487,0.5858141702339072,0.3962311823874399,2936677
Iowa,483,0.5590062111801242,0.02259180795856728,0.5147262675813323,0.603286154778916,0.5572682034209675,0.425173098263547,1663506
Kansas,366,0.5683060109289617,0.025890389426866264,0.5175608476523038,0.6190511742056196,0.5715630792917397,0.4104072715166041,1327591
Kentucky,614,0.4771986970684039,0.02015736545433565,0.437690260777906,0.5167071333589017,0.6447214549801642,0.3393747017396711,2074530
Louisiana,455,0.45274725274725275,0.023335450458079186,0.40700976984941756,0.49848473564508794,0.6021524931800346,0.3821024178178602,2006975
Maine,236,0.5084745762711864,0.03254255242696807,0.444691173514329,0.5722579790280439,0.4546408058938505,0.52401383250639,831375
Maryland,755,0.6609271523178808,0.01722859365320806,0.627159108757593,0.6946951958781686,0.3408282302077388,0.6261908664419382,3038334
Massachusetts,852,0.6561032863849765,0.016273475783028343,0.624207273850241,0.687999298919712,0.3602252719603601,0.6121822810930694,3473668
Michigan,1498,0.5801068090787717,0.01275168250212463,0.5551135113746074,0.6051001067829359,0.4972710995013228,0.4831290850971348,5664186
Minnesota,811,0.593094944512947,0.017250362540414843,0.5592842339337338,0.6269056550921601,0.4668313910606284,0.5092254880267493,3253920
Mississippi,290,0.42758620689655175,0.029051455098483628,0.37064535490352385,0.48452705888957964,0.6089080852893467,0.3800203256004847,1228008
