state_name,N_state,n,f_s,DO_s,rho_hat_trump,DI_trump,n_star_eff_trump,n_eff_trump,Me95_star_trump,Me95_star_upper_trump,rho_hat_harris,DI_harris,n_star_eff_harris,n_eff_harris,Me95_star_harris,Me95_star_upper_harris
Alabama,2265090,427,0.00018851348070054612,5303.660421545667,-0.0023345557014921477,5.450150323369494e-06,34.595197113189535,34.59468401404486,0.16263622055414517,0.1700169008114461,0.002265049037798387,5.130447143631399e-06,36.75099254604615,36.7504124965544,0.15639309295142756,0.16495499222669763
Alaska,338177,73,0.00021586329052537576,4631.561643835616,-0.003564518004885943,1.2705788607156063e-05,16.99303398017451,16.992230382882234,0.24158111900629498,0.24258533172388552,0.0027680240916018476,7.661957371688233e-06,28.179469954261,28.17720533020232,0.18557607892859548,0.18837947839245855
Arizona,3389319,861,0.0002540333323596864,3935.4912891986064,-0.0006931262836530308,4.804240450906617e-07,528.9033392226792,528.8209726942696,0.04343896479227882,0.0434822336658992,0.0005900563287767083,3.4816647112944684e-07,729.8172074612132,729.6603059882308,0.03693565514784391,0.037016295253860236
Arkansas,1182676,239,0.00020208408727326842,4947.435146443515,-0.0043961470069244805,1.932610850649107e-05,10.458646314548185,10.458562670398052,0.29648974481542745,0.3092162163745538,0.0043829209138429425,1.9209995737001853e-05,10.52186248623901,10.521777774106704,0.2911448982494008,0.3082859193545386
California,15865475,2503,0.00015776394970840773,6337.583699560527,-0.001769942962539107,3.132698090641711e-06,50.368352944982675,50.36819621503638,0.1370136153813616,0.1409032872394938,0.001686026177688952,2.8426842718524177e-06,55.50698846927974,55.506797771643726,0.1322839494668895,0.13422276075349132
Colorado,3192745,611,0.00019137137478877895,5224.441898527005,-0.001993453201052275,3.973855664785562e-06,48.16682359602817,48.166112031772,0.1427259504433075,0.14408739720671124,0.0018758225396426716,3.5187102002314823e-06,54.397206336916135,54.396296583339705,0.13512221380163214,0.13558501760468855
Connecticut,1759010,301,0.00017111898169993347,5842.887043189369,-0.0023873347651236954,5.69936728076821e-06,30.029345361697047,30.0288497884218,0.18007081565682115,0.1824849561996221,0.0020369861695560144,4.149312654962484e-06,41.24737821640297,41.246434468617636,0.15442459034974013,0.15570473708215168
Delaware,512913,116,0.00022615921218608224,4420.663793103448,-0.002491458193742542,6.207363931166851e-06,36.4422602338094,36.43974224470505,0.1634043670913605,0.16565225317249863,0.0019532496775451617,3.815184302830278e-06,59.292121635573764,59.28538388951031,0.12876825854112384,0.12986780629370173
District Of Columbia,325869,72,0.000220947681430268,4524.958333333334,0.0002881966354922989,8.305730070908101e-08,2660.7716384962596,2639.229943846545,0.009536296282657704,0.019386356671322456,0.0006972569289427239,4.861672249586388e-07,454.5689193992449,453.93709376097297,0.027791842734349984,0.046902946985985156
Florida,10893752,2435,0.00022352262104002367,4472.820123203286,-0.0026076786029576473,6.799987696323148e-06,32.87838222019786,32.87828600847353,0.17310156458494855,0.17439931710201428,0.0024712631113349604,6.1071413654449485e-06,36.60838700039922,36.608267339012535,0.1636427694537738,0.16527596556852833
Georgia,5250905,1011,0.00019253823864648093,5192.773491592483,-0.0022994199114581017,5.287331929209984e-06,36.42202141592242,36.42177571862544,0.1656812195637989,0.16569827121383054,0.0018238830973453478,3.3265495527820596e-06,57.890409778420974,57.889782577189955,0.13137348126352036,0.13143065980263322
Hawaii,516701,100,0.00019353552634889423,5166.01,-0.003874462599633496,1.5011460435958748e-05,12.89501380795933,12.894716957105343,0.2696056713650642,0.2784768477392102,0.002680546839235766,7.185331357336856e-06,26.94002266181756,26.93867025284361,0.188297293792735,0.19266419917907887
Idaho,905057,175,0.00019335798739747884,5170.754285714285,-0.002706335522836633,7.3242519621674325e-06,26.404796413103185,26.404055254933713,0.18319026788999396,0.19460705851286206,0.003081175172570216,9.493640444063102e-06,20.371045551892944,20.370609556765967,0.2037939141638908,0.2215610119429178
Illinois,5633310,1218,0.00021621391331206696,4624.049261083744,-0.002131735662044855,4.544296932833817e-06,47.589467650250896,47.58907407169397,0.14371913727488272,0.14495879716117727,0.002054758511495146,4.222032540561748e-06,51.2219339383527,51.22147728993369,0.13918949890190888,0.13972432304168117
Indiana,2936677,734,0.00024994236683162634,3999.922343324251,-0.00411027774800009,1.689438316570469e-05,14.79810486031649,14.798035331078935,0.25609700531795077,0.2599542665569913,0.0038389916475840406,1.4737856870220027e-05,16.963446981333806,16.963354770407403,0.23751038726871712,0.24279679361125817
Iowa,1663506,408,0.0002452651207750378,4076.2205882352937,-0.00458819751053667,2.1051556395694894e-05,11.65354645997643,11.65347182791729,0.2910069950772291,0.2929347838590151,0.004933261710485245,2.4337071104139802e-05,10.080312847108127,10.080257823591745,0.31141850935525905,0.3149655065114923
