Window,Implementation,N_obs,True_margin,Mean_poll_margin,Mean_total_error,SD_total_error,Mean_abs_house_effect,Mean_residual_bias,Sigma2_u,Final_smoothed,Final_forecast_error,Var_systematic_pct
Last 107 Days,Em Anchored,674,1.472,-2.129,-3.601,2.487,1.257,-3.652,0.199696,0.379,,24.9
Last 107 Days,Em Unanchored,674,1.472,-2.129,-3.601,2.487,1.257,-3.652,0.199696,0.379,,24.9
Last 107 Days,Agg Anchored,107,1.472,-3.036,-4.508,1.647,,-4.444,0.448094,0.611,,75.2
Last 107 Days,Agg Unanchored,107,1.472,-3.036,-4.508,1.647,,-4.444,0.448094,0.611,,75.2
Last 60 Days,Em Anchored,378,1.472,-2.229,-3.702,2.26,1.292,-3.702,0.220044,0.401,,16.7
Last 60 Days,Em Unanchored,378,1.472,-2.229,-3.702,2.26,1.292,-3.702,0.220044,0.401,,16.7
Last 60 Days,Agg Anchored,60,1.472,-3.31,-4.782,1.439,,-4.681,0.541876,0.588,,75.7
Last 60 Days,Agg Unanchored,60,1.472,-3.31,-4.782,1.439,,-4.681,0.541876,0.588,,75.7
Last 30 Days,Em Anchored,232,1.472,-1.485,-2.957,2.044,1.316,-2.96,0.256087,0.428,,10.1
Last 30 Days,Em Unanchored,232,1.472,-1.485,-2.957,2.044,1.316,-2.96,0.256087,0.428,,10.1
Last 30 Days,Agg Anchored,30,1.472,-2.469,-3.942,1.248,,-3.833,0.751455,0.553,,77.5
Last 30 Days,Agg Unanchored,30,1.472,-2.469,-3.942,1.248,,-3.833,0.751455,0.553,,77.5
