pollster,house_effect,n_polls
Rasmussen,5.651863121888928,2
Harris Poll,5.451267540920358,6
SoCal Research,4.636114646051683,3
HarrisX/Harris Poll,4.254761971591553,25
McLaughlin,4.035836094346367,32
J.L. Partners,3.2460837803771545,7
OnMessage Inc.,2.9540672951621465,3
Fabrizio/GBAO,2.5670755114718213,4
AtlasIntel,2.436292144997446,12
Siena/NYT,2.081066034247504,20
Pew,1.8921951470343872,4
Quinnipiac,1.8826130142842614,6
Beacon/Shaw,1.8210436076589094,9
Kaplan Strategies,1.7774694731393803,1
Quantus Insights,1.4706236968080317,2
Big Data Poll,1.4315702487251245,15
CNN/SSRS,1.3732690103483334,5
RMG Research,1.301876399136717,13
Lord Ashcroft Polls,1.2684865395651344,1
Manhattan Institute,1.1801349117695292,2
Hart/POS,1.100822801685556,9
Yale Youth Poll,1.0530364016882447,1
Kaiser Family Foundation,1.040569595965317,1
ActiVote,0.9247454759056264,16
Quantus Polls and News,0.9162113248429722,2
HarrisX,0.8812367276052663,47
SoCal Strategies,0.4870121740983205,4
Change Research,0.42561060985257554,4
TIPP,0.3539994521771366,36
co/efficient,0.35303640168824196,1
McCourtney Institute/YouGov,0.33002148020167194,1
Florida Atlantic University/Mainstreet Research,0.3289612330892736,14
SurveyUSA,0.22919148810013124,3
Noble Predictive Insights,0.07825513423151943,9
Redfield & Wilton Strategies,0.03560443029364914,79
Suffolk,0.014731096021643762,3
Emerson,0.004180874415022552,9
Schoen Cooperman,-0.20794192445361376,1
SurveyMonkey,-0.24240736101987853,3
YouGov,-0.2793621963930223,61
Survey Center on American Life,-0.33191970223445616,1
American Pulse,-0.35029522272512326,4
Patriot Polling,-0.37064296324537876,2
Cygnal,-0.40215808339760656,2
Paradigm,-0.41892027493231815,1
YouGov/SNF Agora,-0.4421337135992746,1
Data for Progress,-0.5785546513924371,4
Echelon Insights/GBAO,-0.6611312892113526,1
Tufts,-0.8048232337945309,2
ABC News/Ipsos,-0.8310328458812888,20
Monmouth,-0.8942243749813429,2
UMass Amherst/YouGov,-0.9732661160467155,2
Echelon Insights,-1.090125780158752,13
Ipsos,-1.116467693197153,41
Marist College,-1.2018399661259678,12
Deltapoll,-1.236008441745319,1
Institute for Global Affairs/YouGov,-1.5037890786251127,1
Research Co.,-1.524768072748458,2
Morning Consult,-1.582747784986826,140
Navigator,-1.5926994124334055,2
Big Village,-1.601215332578421,35
Angus Reid,-1.6061387474676112,5
Embold Research,-1.7589026594821517,1
Leger,-2.120905685694599,5
Marquette Law School,-2.2114680302567242,8
PPP,-2.488917779200614,1
Clarity,-2.551858515154347,4
Fairleigh Dickinson,-2.6779355413837007,2
CES / YouGov,-2.7176285065796506,2
RABA Research,-2.735766451353433,1
ABC/Washington Post,-2.751166797559694,6
Targoz Market Research,-2.8027718718448495,2
Outward Intelligence,-2.8870930136194106,12
John Zogby Strategies,-3.0334022331601127,2
Civiqs,-3.4421337135992744,1
Split Ticket/Data for Progress,-3.579146884367488,1
Gateway Political Strategies,-3.8615443967463077,1
PRRI,-3.959430404034683,1
Bullfinch,-4.270048820343101,2
Bendixen & Amandi International,-4.617084839173969,1
Susquehanna,-9.289137451433335,3
