pollster,house_effect,n_polls
SoCal Research,5.016919210380416,2
OnMessage Inc.,3.2290903662301966,3
Beacon/Shaw,3.116761910498167,6
Fabrizio/GBAO,2.854152939267033,4
J.L. Partners,2.8493191063131724,6
AtlasIntel,2.7250947756571238,12
McLaughlin,2.46580117431417,6
CNN/SSRS,2.3999494365523395,4
HarrisX/Harris Poll,2.382827586527189,9
Siena/NYT,2.3727963994608583,18
Quinnipiac,2.2465589346185553,6
Pew,2.1943693441389405,4
Kaplan Strategies,2.106657140696013,1
Hart/POS,1.7389171974384054,8
Quantus Insights,1.7291630438480434,2
Big Data Poll,1.595452998300736,15
RMG Research,1.5790214074418163,13
Quantus Polls and News,1.2569985710831642,2
Yale Youth Poll,1.2538341726253162,1
ActiVote,1.2000203835476475,16
Kaiser Family Foundation,1.1895439381532404,1
HarrisX,1.1672879507912235,43
Redfield & Wilton Strategies,0.9100270961686009,10
Noble Predictive Insights,0.8479037357095747,5
SoCal Strategies,0.7594459599581916,4
Change Research,0.7133982549090182,4
Florida Atlantic University/Mainstreet Research,0.6604002472828319,14
McCourtney Institute/YouGov,0.6319416202871507,1
TIPP,0.6298375130737692,36
co/efficient,0.5538341726253132,1
Suffolk,0.27474645510938006,3
Echelon Insights,0.25637526011213485,8
YouGov,0.14866634815742957,52
Emerson,0.01852937524455886,7
Survey Center on American Life,0.003388265136753957,1
SurveyMonkey,-0.03730000807472173,3
Cygnal,-0.08266730799848131,2
American Pulse,-0.12982351600495712,4
Paradigm,-0.13229491206760458,1
Patriot Polling,-0.13303292535251798,2
YouGov/SNF Agora,-0.2645701540342543,1
Data for Progress,-0.2701644070252308,3
Echelon Insights/GBAO,-0.4882884529373831,1
Tufts,-0.4934612011562646,2
ABC News/Ipsos,-0.5322022948183076,20
Monmouth,-0.5834551102238019,2
Marist College,-0.6125649043078739,11
Ipsos,-0.6502728290271984,37
SurveyUSA,-0.6882208862206177,1
UMass Amherst/YouGov,-0.7575040154559441,2
Deltapoll,-0.91109526368719,1
Research Co.,-1.1765983443301722,2
Institute for Global Affairs/YouGov,-1.2118592709482696,1
Navigator,-1.2888482292764896,2
Angus Reid,-1.29231376434162,5
Morning Consult,-1.314038011612533,139
Embold Research,-1.4449009982799397,1
Big Village,-1.6352166092958436,30
Leger,-1.8510077534188238,5
ABC/Washington Post,-1.877481739759449,5
Marquette Law School,-2.002282301661682,8
Clarity,-2.244738741291943,4
CES / YouGov,-2.3796913399257877,2
Targoz Market Research,-2.4165233403247237,2
RABA Research,-2.4441128875417095,1
Fairleigh Dickinson,-2.5163253177859617,2
Outward Intelligence,-2.63452824705952,12
John Zogby Strategies,-2.7190099768614924,2
Civiqs,-3.264570154034254,1
Gateway Political Strategies,-3.6535913272092677,1
PRRI,-3.8104560618467596,1
Bullfinch,-4.044568006993814,2
