pollster,house_effect,n_polls
SoCal Research,4.9441717256600395,3
J.L. Partners,3.5202228557378064,7
OnMessage Inc.,3.244139793455989,3
AtlasIntel,3.1865969967563297,12
Fabrizio/GBAO,2.7948499838889185,4
McLaughlin,2.3922944846643746,7
Kaplan Strategies,2.375731128514434,1
Siena/NYT,2.312641286906158,18
HarrisX/Harris Poll,2.3033929384880407,9
Beacon/Shaw,2.2923431641341008,7
Quinnipiac,2.1331481233644745,6
Pew,2.0771758602455717,4
Quantus Insights,1.8212637667657199,2
CNN/SSRS,1.6060420482308355,5
Big Data Poll,1.568168923144184,15
Manhattan Institute,1.5322407665908933,2
Hart/POS,1.5126384807804432,9
RMG Research,1.502167160952355,13
Yale Youth Poll,1.2767310687743396,1
HarrisX,1.1808313586710957,47
ActiVote,1.1672494216585938,16
Kaiser Family Foundation,1.135068399641699,1
Quantus Polls and News,1.122137425618628,2
Redfield & Wilton Strategies,1.0978583671571753,11
TIPP,0.8243503579472081,36
SoCal Strategies,0.7915053367037694,4
Noble Predictive Insights,0.7643904700432766,7
Change Research,0.6428790489912949,4
co/efficient,0.5767310687743369,1
McCourtney Institute/YouGov,0.5625242738736146,1
Florida Atlantic University/Mainstreet Research,0.5525063509752637,14
Patriot Polling,0.42257708203208155,2
Emerson,0.41457322234950167,8
Suffolk,0.24473683679592742,3
SurveyUSA,0.24403701102640388,3
Echelon Insights,0.24372434730396755,8
YouGov,0.1486216849647357,56
American Pulse,-0.08003291213238875,4
Survey Center on American Life,-0.09956308431137076,1
SurveyMonkey,-0.10903407477595156,3
Cygnal,-0.16228842052320194,2
Paradigm,-0.16944103498647048,1
YouGov/SNF Agora,-0.3135553959308347,1
Data for Progress,-0.3439171707676507,4
ABC News/Ipsos,-0.5179936476166501,20
Tufts,-0.5743785289005846,2
Echelon Insights/GBAO,-0.5924031189341431,1
Monmouth,-0.6529594898025013,2
Research Co.,-0.6631561707012381,2
UMass Amherst/YouGov,-0.7919315913281658,2
Ipsos,-0.8436585848555828,41
Marist College,-0.8557535380199341,12
Deltapoll,-1.0141860920584265,1
Navigator,-1.2884907253583784,2
Institute for Global Affairs/YouGov,-1.299825232750803,1
Big Village,-1.3792729160889727,33
Angus Reid,-1.3819115812599363,5
Morning Consult,-1.3884886833222452,140
Embold Research,-1.5465928423624147,1
John Zogby Strategies,-1.5479334812922179,2
Leger,-1.6735763017963212,5
Targoz Market Research,-2.0373240207721866,2
Marquette Law School,-2.0449464056293993,8
Clarity,-2.3469780209472693,4
RABA Research,-2.3788103955652455,1
CES / YouGov,-2.502422600236554,2
ABC/Washington Post,-2.5143369536326126,6
Fairleigh Dickinson,-2.5581316889356356,2
Outward Intelligence,-2.695521300112546,12
Split Ticket/Data for Progress,-3.286886462585922,1
Civiqs,-3.3135553959308344,1
Gateway Political Strategies,-3.6777270698498135,1
PRRI,-3.8649316003583007,1
Bullfinch,-4.0542414064598375,2
Bendixen & Amandi International,-4.280641160157964,1
