state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Alabama,593,0.5902192242833052,0.02019552367085752,0.5506359978884244,0.629802450678186,0.6457209205815222,0.3410072005968858,2265090
Alaska,90,0.4444444444444444,0.05237828008789241,0.3417830154721753,0.5471058734167136,0.5454480937497228,0.4140612756041954,338177
Arizona,1119,0.5058087578194816,0.014946023179304699,0.4765145523880444,0.5351029632509189,0.5223002024890546,0.4670141701031977,3389319
Arkansas,324,0.5277777777777778,0.027734877709276896,0.4734174174675951,0.5821381380879606,0.6419687217800987,0.3355990989924544,1182676
California,3365,0.32540861812778604,0.008076856842636804,0.3095779787162179,0.3412392575393542,0.383329021034668,0.58467704244594,15865475
Colorado,770,0.36103896103896105,0.017308875797253976,0.32711356447634327,0.39496435760157883,0.4314284416700989,0.5412768636392822,3192745
Connecticut,419,0.3556085918854415,0.023385894268688742,0.3097722391188116,0.4014449446520715,0.4189390623134604,0.5639837181141665,1759010
Delaware,156,0.36538461538461536,0.03855388322462174,0.28981900426435675,0.440950226504874,0.4179090800974044,0.5649262155570243,512913
District Of Columbia,108,0.06481481481481481,0.0236904916454104,0.01838145118981043,0.11124817843981918,0.0646762963031156,0.9027707452994916,325869
Florida,3161,0.47674786459981017,0.008883572172245299,0.45933606314220937,0.49415966605741096,0.5608834311631108,0.4298829273881028,10893752
Georgia,1393,0.43000717875089733,0.013264686424465714,0.40400839335894456,0.4560059641428501,0.5071729539955493,0.4852529230675474,5250905
Hawaii,141,0.2765957446808511,0.037670702605464325,0.202761167574141,0.35043032178756117,0.3748028356825321,0.6058513531036325,516701
Idaho,232,0.5948275862068966,0.03223083023515373,0.5316551589459952,0.6580000134677979,0.6687379910878541,0.3038173286323403,905057
Illinois,1648,0.3737864077669903,0.011917753368370058,0.350427611164985,0.3971452043689956,0.4347495522170801,0.543705743159883,5633310
Indiana,935,0.4834224598930481,0.016342758626795306,0.4513906529845293,0.5154542668015669,0.5858141702339072,0.3962311823874399,2936677
Iowa,483,0.4306418219461698,0.022530836616234187,0.38648138217835076,0.4748022617139888,0.5572682034209675,0.425173098263547,1663506
Kansas,366,0.40710382513661203,0.025680375696045213,0.3567702887723634,0.4574373615008607,0.5715630792917397,0.4104072715166041,1327591
Kentucky,614,0.5130293159609121,0.020171505563210443,0.4734931650570196,0.5525654668648046,0.6447214549801642,0.3393747017396711,2074530
Louisiana,455,0.5296703296703297,0.023399054716384128,0.4838081824262168,0.5755324769144425,0.6021524931800346,0.3821024178178602,2006975
Maine,236,0.4745762711864407,0.03250512567228818,0.41086622486875585,0.5382863175041255,0.4546408058938505,0.52401383250639,831375
Maryland,755,0.31920529801324504,0.016965616796610464,0.28595268909188853,0.35245790693460155,0.3408282302077388,0.6261908664419382,3038334
Massachusetts,852,0.31690140845070425,0.015939840899525565,0.28565932028763413,0.34814349661377436,0.3602252719603601,0.6121822810930694,3473668
Michigan,1498,0.3991989319092123,0.012653309373386702,0.37439844553737434,0.42399941828105026,0.4972710995013228,0.4831290850971348,5664186
Minnesota,811,0.376078914919852,0.017009592008964132,0.3427401145822823,0.4094177152574217,0.4668313910606284,0.5092254880267493,3253920
Mississippi,290,0.5551724137931034,0.029181713969435377,0.49797625441301013,0.6123685731731968,0.6089080852893467,0.3800203256004847,1228008
Missouri,1017,0.4916420845624385,0.015676490525973995,0.4609161631315295,0.5223680059933475,0.5849064225708912,0.4008240168769553,2995327
Montana,190,0.5263157894736842,0.036223536926930804,0.4553176570968998,0.5973139218504686,0.583914767572803,0.3846106643359542,602963
Nebraska,263,0.46387832699619774,0.030750759657957545,0.40360683806660097,0.5241498159257946,0.5931807154514578,0.3885759235104213,952182
Nevada,533,0.3921200750469043,0.02114729553460636,0.35067137579907587,0.4335687742947328,0.5126926765014008,0.4812925065604706,1465215
New Hampshire,238,0.37815126050420167,0.03143306110772602,0.3165424607330587,0.43976006027534464,0.478731864016587,0.5065281672837572,826189
New Jersey,1181,0.43099068585944117,0.014410155963321711,0.4027467801713306,0.45923459154755175,0.4606463088544196,0.5197416168838388,4272725
New Mexico,291,0.40893470790378006,0.028820281648169726,0.3524469558733674,0.46542245993419273,0.4585116141056505,0.5185189998299767,923403
New York,2388,0.36976549413735343,0.009878639067889444,0.35040336156429014,0.38912762671041673,0.4331444097499576,0.5590486045554668,8262600
North Carolina,1369,0.44777209642074506,0.013439588231753657,0.4214305034865079,0.4741136893549822,0.5085719058363357,0.4764533813078146,5699141
North Dakota,86,0.4418604651162791,0.053550649191937534,0.3369011927000815,0.5468197375324766,0.669568524127066,0.3051079029213239,368155
Ohio,1858,0.4343379978471475,0.011499251191825544,0.4117994655111694,0.4568765301831256,0.5513579902728741,0.4392843495634722,5767788
Oklahoma,466,0.5386266094420601,0.02309283304102244,0.49336465668165613,0.5838885622024641,0.6616210342024795,0.3189934956099997,1566173
Oregon,800,0.32125,0.016509407829325678,0.28889156065452165,0.3536084393454783,0.4096604444745428,0.5527306166693324,2244493
Pennsylvania,2352,0.4642857142857143,0.010283492025891008,0.44413006991496795,0.48444135865646065,0.5037253671558666,0.4866280572391539,7034206
Rhode Island,159,0.34591194968553457,0.03772266161987166,0.2719755329105861,0.419848366460483,0.4178753659230616,0.5557664796934627,513086
South Carolina,675,0.5407407407407407,0.01918101654294126,0.5031459483165759,0.5783355331649056,0.5822862951015251,0.4036089068889464,2548140
South Dakota,127,0.5275590551181102,0.044300379344725596,0.440730311602448,0.6143877986337724,0.6343367791812964,0.3423909242239847,428922
Tennessee,1005,0.5691542288557214,0.0156204258620185,0.5385381941661651,0.5997702635452777,0.6419393709149847,0.3447405336001791,3063942
Texas,3057,0.4864245992803402,0.009039869319997762,0.4687064554131446,0.5041427431475358,0.561399597529967,0.4245665474312461,11388674
Utah,355,0.4422535211267606,0.026359665313320284,0.3905885771126528,0.49391846514086835,0.5937665855556018,0.3779430753499846,1488494
Vermont,101,0.25742574257425743,0.04350460651998713,0.17215671379508266,0.3426947713534322,0.322959777110552,0.6378073521058184,369690
Virginia,1188,0.42424242424242425,0.014338993177681923,0.3961379976141677,0.45234685087068083,0.4605739184347081,0.5182386736091495,4503288
Washington,1064,0.3468045112781955,0.014591271667258869,0.31820561881036813,0.3754034037460229,0.3901193172797912,0.5723012056083173,3924243
West Virginia,301,0.6046511627906976,0.028181196702704588,0.5494160172533966,0.6598863083279987,0.6996684955362295,0.2810300242333959,762584
Wisconsin,1035,0.4038647342995169,0.015251768272827152,0.3739712684847757,0.43375820011425814,0.495958711251628,0.4873704248830968,3422918
Wyoming,65,0.6923076923076923,0.057246800579634674,0.5801039631716083,0.8045114214437763,0.7159800481698433,0.2584185721506943,269048
